# v5.0 | 20260315 | BIM Template parameter_categories
Parameter Name,Schedule Display Name,Data Type,Type/Instance,Categories,Group,GUID,Description
ASS_CAT_TXT,Category,TEXT,Type,"Air Terminals, Cable Tray Fittings, Cable Trays, Casework, Communication Devices, Conduit Fittings, Conduits, Data Devices, Duct Accessories, Duct Fittings, Ducts, Electrical Equipment, Electrical Fixtures, Fire Alarm Devices, Flex Ducts, Flex Pipes, Furniture, Furniture Systems, Generic Models, Lighting Devices, Lighting Fixtures, Mechanical Equipment, Nurse Call Devices, Parking, Pipe Accessories, Pipe Fittings, Pipes, Planting, Plumbing Equipment, Plumbing Fixtures, Security Devices, Site, Specialty Equipment, Sprinklers, Telephone Devices",ASS_MNG,f8fe813a-44e9-5e47-9109-921171dc53b6,Ass Cat Txt [ISO 19650-3:2020]
ASS_CRITICALITY_RATING_NR,Criticality Rating,NUMBER,Type,"Air Terminals, Cable Tray Fittings, Cable Trays, Casework, Communication Devices, Conduit Fittings, Conduits, Data Devices, Duct Accessories, Duct Fittings, Ducts, Electrical Equipment, Electrical Fixtures, Fire Alarm Devices, Flex Ducts, Flex Pipes, Furniture, Furniture Systems, Generic Models, Lighting Devices, Lighting Fixtures, Mechanical Equipment, Nurse Call Devices, Parking, Pipe Accessories, Pipe Fittings, Pipes, Planting, Plumbing Equipment, Plumbing Fixtures, Security Devices, Site, Specialty Equipment, Sprinklers, Telephone Devices",ASS_MNG,fbbf5b6d-776a-58e2-a3ce-cbd9fbfe3f93,Ass Criticality Rating Nr [ISO 19650-3:2020]
ASS_CST_ANNUAL_MAINTENANCE_UGX_NR,Annual Maintenance Cost,CURRENCY,Type,"Air Terminals, Cable Tray Fittings, Cable Trays, Casework, Communication Devices, Conduit Fittings, Conduits, Data Devices, Duct Accessories, Duct Fittings, Ducts, Electrical Equipment, Electrical Fixtures, Fire Alarm Devices, Flex Ducts, Flex Pipes, Furniture, Furniture Systems, Generic Models, Lighting Devices, Lighting Fixtures, Mechanical Equipment, Nurse Call Devices, Parking, Pipe Accessories, Pipe Fittings, Pipes, Planting, Plumbing Equipment, Plumbing Fixtures, Security Devices, Site, Specialty Equipment, Sprinklers, Telephone Devices",ASS_MNG,7523cd2c-274a-51bd-aa48-38df40b8f075,Ass Cst Annual Maintenance Ugx Nr [ISO 19650-3:2020]
ASS_CST_INSTALL_UGX_NR,Installation Cost,CURRENCY,Type,"Air Terminals, Cable Tray Fittings, Cable Trays, Casework, Communication Devices, Conduit Fittings, Conduits, Data Devices, Duct Accessories, Duct Fittings, Ducts, Electrical Equipment, Electrical Fixtures, Fire Alarm Devices, Flex Ducts, Flex Pipes, Furniture, Furniture Systems, Generic Models, Lighting Devices, Lighting Fixtures, Mechanical Equipment, Nurse Call Devices, Parking, Pipe Accessories, Pipe Fittings, Pipes, Planting, Plumbing Equipment, Plumbing Fixtures, Security Devices, Site, Specialty Equipment, Sprinklers, Telephone Devices",ASS_MNG,01fcf005-60b1-5886-b52f-015cc7598787,Ass Cst Install Ugx Nr [ISO 19650-3:2020]
ASS_CST_LIFECYCLE_UGX_NR,Lifecycle Cost,CURRENCY,Type,"Air Terminals, Cable Tray Fittings, Cable Trays, Casework, Communication Devices, Conduit Fittings, Conduits, Data Devices, Duct Accessories, Duct Fittings, Ducts, Electrical Equipment, Electrical Fixtures, Fire Alarm Devices, Flex Ducts, Flex Pipes, Furniture, Furniture Systems, Generic Models, Lighting Devices, Lighting Fixtures, Mechanical Equipment, Nurse Call Devices, Parking, Pipe Accessories, Pipe Fittings, Pipes, Planting, Plumbing Equipment, Plumbing Fixtures, Security Devices, Site, Specialty Equipment, Sprinklers, Telephone Devices",ASS_MNG,b0853b7d-8b73-5234-a97f-9a33120b432b,Ass Cst Lifecycle Ugx Nr [ISO 19650-3:2020]
ASS_CST_QUANTITY_NR,Quantity,NUMBER,Type,"Air Terminals, Cable Tray Fittings, Cable Trays, Casework, Communication Devices, Conduit Fittings, Conduits, Data Devices, Duct Accessories, Duct Fittings, Ducts, Electrical Equipment, Electrical Fixtures, Fire Alarm Devices, Flex Ducts, Flex Pipes, Furniture, Furniture Systems, Generic Models, Lighting Devices, Lighting Fixtures, Mechanical Equipment, Nurse Call Devices, Parking, Pipe Accessories, Pipe Fittings, Pipes, Planting, Plumbing Equipment, Plumbing Fixtures, Security Devices, Site, Specialty Equipment, Sprinklers, Telephone Devices",ASS_MNG,3c189e63-383c-5011-b7d9-873faed4e6c6,Ass Cst Quantity Nr [ISO 19650-3:2020]
ASS_CST_TOTAL_UGX_NR,Total Cost,CURRENCY,Type,"Air Terminals, Cable Tray Fittings, Cable Trays, Casework, Communication Devices, Conduit Fittings, Conduits, Data Devices, Duct Accessories, Duct Fittings, Ducts, Electrical Equipment, Electrical Fixtures, Fire Alarm Devices, Flex Ducts, Flex Pipes, Furniture, Furniture Systems, Generic Models, Lighting Devices, Lighting Fixtures, Mechanical Equipment, Nurse Call Devices, Parking, Pipe Accessories, Pipe Fittings, Pipes, Planting, Plumbing Equipment, Plumbing Fixtures, Security Devices, Site, Specialty Equipment, Sprinklers, Telephone Devices",ASS_MNG,32347c5d-1605-50ab-9c8c-5dc36c0c1765,Ass Cst Total Ugx Nr [ISO 19650-3:2020]
ASS_CST_UNIT_PRICE_UGX_NR,Unit Rate,CURRENCY,Type,"Air Terminals, Cable Tray Fittings, Cable Trays, Casework, Communication Devices, Conduit Fittings, Conduits, Data Devices, Duct Accessories, Duct Fittings, Ducts, Electrical Equipment, Electrical Fixtures, Fire Alarm Devices, Flex Ducts, Flex Pipes, Furniture, Furniture Systems, Generic Models, Lighting Devices, Lighting Fixtures, Mechanical Equipment, Nurse Call Devices, Parking, Pipe Accessories, Pipe Fittings, Pipes, Planting, Plumbing Equipment, Plumbing Fixtures, Security Devices, Site, Specialty Equipment, Sprinklers, Telephone Devices",ASS_MNG,57d29e0c-b1ef-50e6-9c3d-d58e751c9f49,Ass Cst Unit Price Ugx Nr [ISO 19650-3:2020]
ASS_DEPARTMENT_ASSIGNMENT_TXT,Department Assignment,TEXT,Type,"Air Terminals, Cable Tray Fittings, Cable Trays, Casework, Communication Devices, Conduit Fittings, Conduits, Data Devices, Duct Accessories, Duct Fittings, Ducts, Electrical Equipment, Electrical Fixtures, Fire Alarm Devices, Flex Ducts, Flex Pipes, Furniture, Furniture Systems, Generic Models, Lighting Devices, Lighting Fixtures, Mechanical Equipment, Nurse Call Devices, Parking, Pipe Accessories, Pipe Fittings, Pipes, Planting, Plumbing Equipment, Plumbing Fixtures, Security Devices, Site, Specialty Equipment, Sprinklers, Telephone Devices",ASS_MNG,f6d2f12b-d9af-5383-86c3-a3c3c937083d,Ass Department Assignment Txt [ISO 19650-3:2020]
ASS_DESCRIPTION_TXT,Description,TEXT,Type,"Air Terminals, Cable Tray Fittings, Cable Trays, Casework, Communication Devices, Conduit Fittings, Conduits, Data Devices, Duct Accessories, Duct Fittings, Ducts, Electrical Equipment, Electrical Fixtures, Fire Alarm Devices, Flex Ducts, Flex Pipes, Furniture, Furniture Systems, Generic Models, Lighting Devices, Lighting Fixtures, Mechanical Equipment, Nurse Call Devices, Parking, Pipe Accessories, Pipe Fittings, Pipes, Planting, Plumbing Equipment, Plumbing Fixtures, Security Devices, Site, Specialty Equipment, Sprinklers, Telephone Devices",ASS_MNG,3ee68ef4-0cad-505f-a973-8817e9cf5d08,Ass Description Txt [ISO 19650-3:2020]
