# v3.1 | 20260226 | BIM Template v2.2 schedule field remap - A8 stair renames
Old_Schedule_Field,Consolidated_Parameter,Action,Deprecated_Date,Deprecation_Owner,Sunset_Date,Migration_Notes
ASS_CATEGORY_TXT,MA_ELEMENT_CATEGORY_TXT,REMAPPED,2026-02-25,BIM_Manager,2026-08-25,Consolidated to MA_ELEMENT_CATEGORY_TXT
BLE_DOOR_TYPE_TXT,BLE_DOOR_OPERATION_TYPE_SWING_SLIDE_FOLD_ROLL_TXT,REMAPPED,2026-02-25,BIM_Manager,2026-08-25,Consolidated to BLE_DOOR_OPERATION_TYPE_SWING_SLIDE_FOLD_ROLL_TXT
BLE_FINISH_MATERIAL_TXT,BLE_FINISH_TYPE_TXT,REMAPPED,2026-02-25,BIM_Manager,2026-08-25,Consolidated to BLE_FINISH_TYPE_TXT
COM_CBL_TYPE_TXT,CBL_TYPE_TXT,REMAPPED,2026-02-25,BIM_Manager,2026-08-25,Consolidated to CBL_TYPE_TXT
CP_COLOR_B_INT,COLOR_B_INT,REMAPPED,2026-02-25,BIM_Manager,2026-08-25,Consolidated to COLOR_B_INT
CP_COLOR_G_INT,COLOR_G_INT,REMAPPED,2026-02-25,BIM_Manager,2026-08-25,Consolidated to COLOR_G_INT
CP_COLOR_R_INT,COLOR_R_INT,REMAPPED,2026-02-25,BIM_Manager,2026-08-25,Consolidated to COLOR_R_INT
CST_EQUIPMENT_CST_UGX_NR,CST_TOTAL_EQUIPMENT_COST,REMAPPED,2026-02-25,BIM_Manager,2026-08-25,Consolidated to CST_TOTAL_EQUIPMENT_COST
CST_LABOUR_CST_UGX_NR,CST_TOTAL_LABOUR_COST,REMAPPED,2026-02-25,BIM_Manager,2026-08-25,Consolidated to CST_TOTAL_LABOUR_COST
CST_MATERIAL_CST_UGX_NR,CST_TOTAL_MATERIAL_COST,REMAPPED,2026-02-25,BIM_Manager,2026-08-25,Consolidated to CST_TOTAL_MATERIAL_COST
CST_SPECIFICATION_TXT,MAT_SPECIFICATIONS,REMAPPED,2026-02-25,BIM_Manager,2026-08-25,Consolidated to MAT_SPECIFICATIONS
CST_S_EAR_ACTIVITY_TYPE_TXT,CST_S_EAR_EXCAVATION_METHOD_TXT,REMAPPED,2026-02-25,BIM_Manager,2026-08-25,Consolidated to CST_S_EAR_EXCAVATION_METHOD_TXT
CST_S_FRM_ELEMENT_TYPE_TXT,CST_S_FRM_TYPE_TXT,REMAPPED,2026-02-25,BIM_Manager,2026-08-25,Consolidated to CST_S_FRM_TYPE_TXT
CST_S_MAS_BOND_TYPE_TXT,CST_S_MAS_MORTAR_TYPE_TXT,REMAPPED,2026-02-25,BIM_Manager,2026-08-25,Consolidated to CST_S_MAS_MORTAR_TYPE_TXT
DS_USAGE_TXT,USAGE_TXT,REMAPPED,2026-02-25,BIM_Manager,2026-08-25,Consolidated to USAGE_TXT
ELC_CBL_TYPE_TXT,CBL_TYPE_TXT,REMAPPED,2026-02-25,BIM_Manager,2026-08-25,Consolidated to CBL_TYPE_TXT
ELC_MNT_HGT_MM,MNT_HGT_MM,REMAPPED,2026-02-25,BIM_Manager,2026-08-25,Consolidated to MNT_HGT_MM
ELC_PNL_IP_RATING_TXT,ELC_IP_RATING_TXT,REMAPPED,2026-02-25,BIM_Manager,2026-08-25,Consolidated to ELC_IP_RATING_TXT
HVC_TYPE_TXT,HVC_CONTROL_TYPE_TXT,REMAPPED,2026-02-25,BIM_Manager,2026-08-25,Consolidated to HVC_CONTROL_TYPE_TXT
LS_COLOR_B_INT,COLOR_B_INT,REMAPPED,2026-02-25,BIM_Manager,2026-08-25,Consolidated to COLOR_B_INT
LS_COLOR_G_INT,COLOR_G_INT,REMAPPED,2026-02-25,BIM_Manager,2026-08-25,Consolidated to COLOR_G_INT
LS_COLOR_R_INT,COLOR_R_INT,REMAPPED,2026-02-25,BIM_Manager,2026-08-25,Consolidated to COLOR_R_INT
LS_USAGE_TXT,USAGE_TXT,REMAPPED,2026-02-25,BIM_Manager,2026-08-25,Consolidated to USAGE_TXT
LTG_MNT_HGT_MM,MNT_HGT_MM,REMAPPED,2026-02-25,BIM_Manager,2026-08-25,Consolidated to MNT_HGT_MM
LTG_MNT_TYPE_TXT,MNT_TYPE_TXT,REMAPPED,2026-02-25,BIM_Manager,2026-08-25,Consolidated to MNT_TYPE_TXT
OS_COLOR_B_INT,COLOR_B_INT,REMAPPED,2026-02-25,BIM_Manager,2026-08-25,Consolidated to COLOR_B_INT
OS_COLOR_G_INT,COLOR_G_INT,REMAPPED,2026-02-25,BIM_Manager,2026-08-25,Consolidated to COLOR_G_INT
OS_COLOR_R_INT,COLOR_R_INT,REMAPPED,2026-02-25,BIM_Manager,2026-08-25,Consolidated to COLOR_R_INT
PH_COLOR_B_INT,COLOR_B_INT,REMAPPED,2026-02-25,BIM_Manager,2026-08-25,Consolidated to COLOR_B_INT
PH_COLOR_G_INT,COLOR_G_INT,REMAPPED,2026-02-25,BIM_Manager,2026-08-25,Consolidated to COLOR_G_INT
PH_COLOR_R_INT,COLOR_R_INT,REMAPPED,2026-02-25,BIM_Manager,2026-08-25,Consolidated to COLOR_R_INT
PLM_SPT_INST_DETAIL_TXT,ASS_INST_DETAIL_TXT,REMAPPED,2026-02-25,BIM_Manager,2026-08-25,Consolidated to ASS_INST_DETAIL_TXT
PLM_TYPE_TXT,PLM_DRN_BODY_MAT_TXT,REMAPPED,2026-02-25,BIM_Manager,2026-08-25,Consolidated to PLM_DRN_BODY_MAT_TXT
