"Name","CreatedBy","CreatedOn","Category","Description","AssetType","Manufacturer","ModelNumber","WarrantyGuarantorParts","WarrantyDurationParts","WarrantyGuarantorLabor","WarrantyDurationLabor","WarrantyDurationUnit","ReplacementCost","ExpectedLife","DurationUnit","NominalLength","NominalWidth","NominalHeight","ModelReference","Shape","Size","Color","Finish","Grade","Material","Constituents","Features","AccessibilityPerformance","CodePerformance","SustainabilityPerformance"
"System Panel: Glazed","del","2026-03-20","Curtain Panels","","Fixed","","","","","","","","","","years","","","","Glazed","","","","","","","","","","",""
"Empty System Panel: Empty","del","2026-03-20","Curtain Panels","","Fixed","","","","","","","","","","years","","","","Empty","","","","","","","","","","",""
"Rectangular Mullion: 65 x 125mm rectangular","del","2026-03-20","Curtain Wall Mullions","","Fixed","","","","","","","","","","years","","","","65 x 125mm rectangular","","","","","","","","","","",""
"Circular Mullion: 50mm Radius","del","2026-03-20","Curtain Wall Mullions","","Fixed","","","","","","","","","","years","","","","50mm Radius","","","","","","","","","","",""
"Rectangular Mullion: 40 x 62mm rectangular","del","2026-03-20","Curtain Wall Mullions","","Fixed","","","","","","","","","","years","","","","40 x 62mm rectangular","","","","","","","","","","",""
"Rectangular Mullion: 25mm Square","del","2026-03-20","Curtain Wall Mullions","","Fixed","","","","","","","","","","years","","","","25mm Square","","","","","","","","","","",""
"L Corner Mullion: 125 x 125mm Corner","del","2026-03-20","Curtain Wall Mullions","","Fixed","","","","","","","","","","years","","","","125 x 125mm Corner","","","","","","","","","","",""
"V Corner Mullion: 125mm V Corner","del","2026-03-20","Curtain Wall Mullions","","Fixed","","","","","","","","","","years","","","","125mm V Corner","","","","","","","","","","",""
"Trapezoid Corner Mullion: 125mm Trapezoid","del","2026-03-20","Curtain Wall Mullions","","Fixed","","","","","","","","","","years","","","","125mm Trapezoid","","","","","","","","","","",""
"Quad Corner Mullion: 125 x 125mm Quad Corner","del","2026-03-20","Curtain Wall Mullions","","Fixed","","","","","","","","","","years","","","","125 x 125mm Quad Corner","","","","","","","","","","",""
"System Panel: Solid","del","2026-03-20","Curtain Panels","","Fixed","","","","","","","","","","years","","","","Solid","","","","","","","","","","",""
"System Panel: Wall","del","2026-03-20","Curtain Panels","","Fixed","","","","","","","","","","years","","","","Wall","","","","","","","","","","",""
"Grab Bar: Grab Bar","del","2026-03-20","Specialty Equipment","","Moveable","","","","","","","","","","years","","","","Grab Bar","","","","","","","","","","",""
"M_GM_OpeningWall_Instance: Opening","del","2026-03-20","Generic Models","","Fixed","","","","","","","","","","years","","","","Opening","","","","","","","","","","",""
"M_SC_Reference Column: M_SC_Reference Column","del","2026-03-20","Structural Columns","","Fixed","","","","","","","","","","years","","","","M_SC_Reference Column","","","","","","","","","","",""
