"Name","CreatedBy","CreatedOn","SheetName","ParentName","ChildNames","AssemblyType","Description"
"Assembly-Wall-M_Exterior - Brick on Mtl. Stud","del","2026-03-20","Type","Walls: M_Exterior - Brick on Mtl. Stud","Brick, Common,Air,Air,Plywood, Sheathing,Metal Stud Layer,Vapor Retarder,Gypsum Wall Board","Fixed","Wall: M_Exterior - Brick on Mtl. Stud, 349mm total, Layers: Brick, Common (92mm, Thermal) + Air (75mm, Thermal) + Air (0mm, Thermal) + Plywood, Sheathing (20mm, Thermal) + Metal Stud Layer (150mm, Thermal) + Vapor Retarder (0mm, Thermal) + Gypsum Wall Board (12mm, Thermal)"
"Assembly-Wall-M_Exterior - CMU on Mtl. Stud","del","2026-03-20","Type","Walls: M_Exterior - CMU on Mtl. Stud","Concrete Masonry Units,Air,Air,Plywood, Sheathing,Metal Stud Layer,Vapor Retarder,Gypsum Wall Board","Fixed","Wall: M_Exterior - CMU on Mtl. Stud, 447mm total, Layers: Concrete Masonry Units (190mm, Thermal) + Air (75mm, Thermal) + Air (0mm, Thermal) + Plywood, Sheathing (20mm, Thermal) + Metal Stud Layer (150mm, Thermal) + Vapor Retarder (0mm, Thermal) + Gypsum Wall Board (12mm, Thermal)"
"Assembly-Wall-Interior - 128mm Partition (2-hr)","del","2026-03-20","Type","Walls: Interior - 128mm Partition (2-hr)","Gypsum Wall Board,Gypsum Wall Board,Metal Stud Layer,Gypsum Wall Board,Gypsum Wall Board","Fixed","Wall: Interior - 128mm Partition (2-hr), 128mm total, Layers: Gypsum Wall Board (16mm, Thermal) + Gypsum Wall Board (16mm, Thermal) + Metal Stud Layer (64mm, Thermal) + Gypsum Wall Board (16mm, Thermal) + Gypsum Wall Board (16mm, Thermal)"
"Assembly-Wall-M_Exterior - Brick on CMU","del","2026-03-20","Type","Walls: M_Exterior - Brick on CMU","Brick, Common,Air,Rigid insulation,Damp-proofing,Concrete Masonry Units,Metal Furring,Gypsum Wall Board","Fixed","Wall: M_Exterior - Brick on CMU, 498mm total, Layers: Brick, Common (92mm, Thermal) + Air (75mm, Thermal) + Rigid insulation (75mm, Thermal) + Damp-proofing (0mm, Thermal) + Concrete Masonry Units (190mm, Thermal) + Metal Furring (50mm, Thermal) + Gypsum Wall Board (16mm, Thermal)"
"Assembly-Wall-M_Exterior - CMU Insulated","del","2026-03-20","Type","Walls: M_Exterior - CMU Insulated","Concrete Masonry Units,Air,Rigid insulation,Damp-proofing,Concrete Masonry Units,Metal Furring,Gypsum Wall Board","Fixed","Wall: M_Exterior - CMU Insulated, 671mm total, Layers: Concrete Masonry Units (190mm, Thermal) + Air (50mm, Thermal) + Rigid insulation (75mm, Thermal) + Damp-proofing (0mm, Thermal) + Concrete Masonry Units (290mm, Thermal) + Metal Furring (50mm, Thermal) + Gypsum Wall Board (16mm, Thermal)"
"Assembly-Wall-Interior - 97mm Partition (1-hr)","del","2026-03-20","Type","Walls: Interior - 97mm Partition (1-hr)","Gypsum Wall Board,Gypsum Wall Board,Metal Stud Layer,Gypsum Wall Board,Gypsum Wall Board","Fixed","Wall: Interior - 97mm Partition (1-hr), 97mm total, Layers: Gypsum Wall Board (12mm, Thermal) + Gypsum Wall Board (6mm, Thermal) + Metal Stud Layer (60mm, Thermal) + Gypsum Wall Board (6mm, Thermal) + Gypsum Wall Board (12mm, Thermal)"
"Assembly-Wall-Interior - 125mm Partition (1-hr)","del","2026-03-20","Type","Walls: Interior - 125mm Partition (1-hr)","Gypsum Wall Board,Metal Stud Layer,Gypsum Wall Board","Fixed","Wall: Interior - 125mm Partition (1-hr), 125mm total, Layers: Gypsum Wall Board (16mm, Thermal) + Metal Stud Layer (93mm, Thermal) + Gypsum Wall Board (16mm, Thermal)"
"Assembly-Wall-Interior - 157mm Partition (2-hr)","del","2026-03-20","Type","Walls: Interior - 157mm Partition (2-hr)","Gypsum Wall Board,Gypsum Wall Board,Metal Stud Layer,Gypsum Wall Board,Gypsum Wall Board","Fixed","Wall: Interior - 157mm Partition (2-hr), 157mm total, Layers: Gypsum Wall Board (16mm, Thermal) + Gypsum Wall Board (16mm, Thermal) + Metal Stud Layer (93mm, Thermal) + Gypsum Wall Board (16mm, Thermal) + Gypsum Wall Board (16mm, Thermal)"
"Assembly-Wall-Interior - 141mm Partition (1-hr)","del","2026-03-20","Type","Walls: Interior - 141mm Partition (1-hr)","Gypsum Wall Board,Metal Stud Layer,Gypsum Wall Board,Gypsum Wall Board","Fixed","Wall: Interior - 141mm Partition (1-hr), 141mm total, Layers: Gypsum Wall Board (16mm, Thermal) + Metal Stud Layer (93mm, Thermal) + Gypsum Wall Board (16mm, Thermal) + Gypsum Wall Board (16mm, Thermal)"
"Assembly-Wall-M_Exterior - EIFS on Mtl. Stud","del","2026-03-20","Type","Walls: M_Exterior - EIFS on Mtl. Stud","EIFS, Exterior Insulation,Air,Air,Plywood, Sheathing,Metal Stud Layer,Vapor Retarder,Gypsum Wall Board","Fixed","Wall: M_Exterior - EIFS on Mtl. Stud, 308mm total, Layers: EIFS, Exterior Insulation (76mm, Thermal) + Air (50mm, Thermal) + Air (0mm, Thermal) + Plywood, Sheathing (20mm, Thermal) + Metal Stud Layer (150mm, Thermal) + Vapor Retarder (0mm, Thermal) + Gypsum Wall Board (12mm, Thermal)"
