Category,Unit_Rate,Unit,Description
"Structural Foundations",250,"m³","RC foundations"
"Structural Framing",180,"m","Steel/RC beams"
"Structural Columns",350,"each","Columns"
"Floors",120,"m²","Floor slabs"
"Walls",85,"m²","Internal/external walls"
"Roofs",150,"m²","Roofing system"
"Windows",450,"each","Window units"
"Doors",350,"each","Door sets"
"Ceilings",45,"m²","Suspended ceilings"
"Ducts",55,"m","Ductwork"
"Pipes",35,"m","Pipework"
"Cable Trays",28,"m","Cable management"
"Conduits",15,"m","Conduit runs"
"Sprinklers",85,"each","Sprinkler heads"
"Mechanical Equipment",2500,"each","Plant/AHU/FCU"
"Electrical Equipment",1500,"each","DB/switchgear"
"Plumbing Fixtures",450,"each","Sanitary ware"
"Lighting Fixtures",120,"each","Luminaires"
"Air Terminals",65,"each","Grilles/diffusers"
"Electrical Fixtures",35,"each","Sockets/switches"
"Fire Alarm Devices",45,"each","Detectors/sounders"
"Communication Devices",75,"each","Data/comms points"
"Security Devices",120,"each","CCTV/access control"
"Furniture",300,"each","General furniture"
"Casework",200,"m","Fitted furniture"
