# v2.2 | 20260226 | BIM Template ble_materials
SOURCE_SHEET,MAT_DISCIPLINE,MAT_ISO_19650_ID,MAT_CODE,MAT_ELEMENT_TYPE,MAT_CATEGORY,MAT_NAME,MAT_APPLICATION,MAT_LOCATION,MAT_THICKNESS_MM,MAT_THICKNESS_INCH,MAT_COST_UNIT_USD,MAT_COST_UNIT_UGX,MAT_DURABILITY,MAT_SPECIFICATIONS,MAT_LAYER_COUNT,MAT_LAYER_1_MATERIAL,MAT_LAYER_1_THICKNESS_MM,MAT_LAYER_1_FUNCTION,MAT_LAYER_2_MATERIAL,MAT_LAYER_2_THICKNESS_MM,MAT_LAYER_2_FUNCTION,MAT_LAYER_3_MATERIAL,MAT_LAYER_3_THICKNESS_MM,MAT_LAYER_3_FUNCTION,MAT_LAYER_4_MATERIAL,MAT_LAYER_4_THICKNESS_MM,MAT_LAYER_4_FUNCTION,MAT_LAYER_5_MATERIAL,MAT_LAYER_5_THICKNESS_MM,MAT_LAYER_5_FUNCTION,MAT_MANUFACTURER,MAT_STANDARD,MAT_FEATURES,BLE_APP-REVIT-BASE-MATERIAL,BLE_APP-IDENTITY-CLASS,BLE_APP-COLOR,BLE_APP-TRANSPARENCY,BLE_APP-SMOOTHNESS,BLE_APP-SHININESS,BLE_APP-SURFACE-FG-COLOR,BLE_APP-SURFACE-FG-PATTERN,BLE_APP-CUT-FG-COLOR,BLE_APP-CUT-FG-PATTERN,BLE_APP-IMAGE,BLE_APP-DESCRIPTION,BLE_APP-COMMENTS,BLE_APP-SURFACE-BG-PATTERN,BLE_APP-SURFACE-BG-COLOR,BLE_APP-CUT-BG-PATTERN,BLE_APP-CUT-BG-COLOR,BLE_APP-PHYSICAL-ASSET,BLE_APP-THERMAL-ASSET,BLE_MAT_TEXTURE_URL,PROP_DENSITY_KG_M3,PROP_THERMAL_COND_W_MK,PROP_THERMAL_RES_M2K_W,PROP_SPECIFIC_HEAT_J_KGK,PROP_FIRE_RATING,PROP_ACOUSTIC_ABS,PROP_SOUND_RED_DB,PROP_CARBON_KG_M3,MAT_COST_ASSEMBLY_USD,MAT_COST_ASSEMBLY_UGX,BLE_APP-CUT_PATTERN,BLE_APP-SURFACE_PATTERN,BLE_APP-BACKGROUND_PATTERN,BLE_APP-SHADING_RGB,PROP_COMP_STRENGTH_MPA,PROP_TENS_STRENGTH_MPA
01_CEILINGS,CEILINGS,A-CLG-GYPSUM-STANDARD-9.5MM-INT-GB01,CLG-001,A-CLG,GYPSUM BOARD,GYPSUM BOARD STANDARD 9.5MM,INTERIOR,CEILING,9.5,0.374015748,8.0,29600,GOOD,STANDARD DRYWALL,1.0,GYPSUM BOARD STANDARD 9.5MM,9.5,FINISH 1 [4],,0.0,,,0.0,,,0.0,,,0.0,,KNAUF,"BS EN 520:2004, ASTM C1396",GOOD DURABILITY,Gypsum Wall Board,Generic,RGB 221-221-219,,50.0,64.0,RGB 000-000-000,,RGB 000-000-000,Sand,,GYPSUM BOARD STANDARD 9.5MM. 9.5mm nominal thickness. For interior applications. Fire classification: A2 s1 d0. Density: 950 kg/m³. λ=0.16 W/mK. Complies with BS EN 520:2004.,Fix to framing at 300mm max centres using drywall screws. Tape and joint all edges and seams. Prime before decoration. Maintain A2 s1 d0 in completed assembly. Install per BS EN 520:2004.,,RGB 000-000-000,,RGB 000-000-000,Gypsum Wall Board,Gypsum Plasterboard,https://dl.polyhaven.org/file/ph-assets/Textures/jpg/2k/painted_plaster/painted_plaster_diff_2k.jpg,950.0,0.16,0.059,840.0,A2 s1 d0,0.15,35.0,150.0,280.0,1050000.0,Gypsum-Cut,Gypsum-Wall-Board,Solid fill,"245,245,220",3.5,0.0
01_CEILINGS,CEILINGS,A-CLG-GYPSUM-STANDARD-12.5MM-INT-GB02,CLG-002,A-CLG,GYPSUM BOARD,GYPSUM BOARD STANDARD 12.5MM,INTERIOR,CEILING,12.5,0.4921259843,8.0,29600,GOOD,STANDARD CEILING,1.0,GYPSUM BOARD STANDARD 12.5MM,12.5,FINISH 1 [4],,0.0,,,0.0,,,0.0,,,0.0,,KNAUF,"BS EN 520:2004, ASTM C1396",GOOD DURABILITY,Gypsum Wall Board,Generic,RGB 221-221-219,,50.0,64.0,RGB 000-000-000,,RGB 000-000-000,Sand,,GYPSUM BOARD STANDARD 12.5MM. 12.5mm nominal thickness. For interior applications. Fire classification: A2 s1 d0. Density: 950 kg/m³. λ=0.16 W/mK. Complies with BS EN 520:2004.,Fix to framing at 300mm max centres using drywall screws. Tape and joint all edges and seams. Prime before decoration. Maintain A2 s1 d0 in completed assembly. Install per BS EN 520:2004.,,RGB 000-000-000,,RGB 000-000-000,Gypsum Wall Board,Gypsum Plasterboard,https://dl.polyhaven.org/file/ph-assets/Textures/jpg/2k/painted_plaster/painted_plaster_diff_2k.jpg,950.0,0.16,0.078,840.0,A2 s1 d0,0.15,35.0,150.0,280.0,1050000.0,Gypsum-Cut,Gypsum-Wall-Board,Solid fill,"245,245,220",3.5,0.0
01_CEILINGS,CEILINGS,A-CLG-GYPSUM-STANDARD-15MM-INT-GB03,CLG-003,A-CLG,GYPSUM BOARD,GYPSUM BOARD STANDARD 15MM,INTERIOR,CEILING,15.0,0.5905511811,8.0,29600,GOOD,HEAVY DUTY,1.0,GYPSUM BOARD STANDARD 15MM,15.0,FINISH 1 [4],,0.0,,,0.0,,,0.0,,,0.0,,KNAUF,"BS EN 520:2004, ASTM C1396",GOOD DURABILITY,Gypsum Wall Board,Generic,RGB 221-221-219,,50.0,64.0,RGB 000-000-000,,RGB 000-000-000,Sand,,GYPSUM BOARD STANDARD 15MM. 15mm nominal thickness. For interior applications. Fire classification: A2 s1 d0. Density: 950 kg/m³. λ=0.16 W/mK. Complies with BS EN 520:2004.,Fix to framing at 300mm max centres using drywall screws. Tape and joint all edges and seams. Prime before decoration. Maintain A2 s1 d0 in completed assembly. Install per BS EN 520:2004.,,RGB 000-000-000,,RGB 000-000-000,Gypsum Wall Board,Gypsum Plasterboard,https://dl.polyhaven.org/file/ph-assets/Textures/jpg/2k/painted_plaster/painted_plaster_diff_2k.jpg,950.0,0.16,0.094,840.0,A2 s1 d0,0.15,35.0,150.0,280.0,1050000.0,Gypsum-Cut,Gypsum-Wall-Board,Solid fill,"245,245,220",3.5,0.0
01_CEILINGS,CEILINGS,A-CLG-GYPSUM-FIRE-RATED-12.5MM-INT-GB04,CLG-004,A-CLG,FIRE-RATED GYPSUM,FIRE-RATED GYPSUM TYPE X 12.5MM,INTERIOR,SAFETY,12.5,0.4921259843,8.0,29600,EXCELLENT,1 HOUR FIRE RATING,1.0,FIRE-RATED GYPSUM TYPE X 12.5MM,12.5,FINISH 1 [4],,0.0,,,0.0,,,0.0,,,0.0,,KNAUF,"BS EN 520:2004, BS 476-22, UL 263",FIRE | EXCELLENT DURABILITY,Gypsum Wall Board,Generic,RGB 221-221-219,,50.0,64.0,RGB 000-000-000,,RGB 000-000-000,Sand,,FIRE-RATED GYPSUM TYPE X 12.5MM. 12.5mm nominal thickness. For interior applications. Fire classification: A2 s1 d0. Density: 950 kg/m³. λ=0.16 W/mK. Complies with BS EN 520:2004.,Fix to framing at 300mm max centres using drywall screws. Tape and joint all edges and seams. Prime before decoration. Maintain fire rating - use fire stopping at penetrations. Maintain A2 s1 d0 in completed assembly.,,RGB 000-000-000,,RGB 000-000-000,Gypsum Wall Board,Gypsum Plasterboard,https://dl.polyhaven.org/file/ph-assets/Textures/jpg/2k/pink_plaster/pink_plaster_diff_2k.jpg,950.0,0.16,0.078,840.0,A2 s1 d0,0.15,35.0,150.0,280.0,1050000.0,Gypsum-Cut-Fire,Gypsum-Wall-Board,Solid fill,"245,245,220",3.5,0.0
01_CEILINGS,CEILINGS,A-CLG-GYPSUM-FIRE-RATED-15MM-INT-GB05,CLG-005,A-CLG,FIRE-RATED GYPSUM,FIRE-RATED GYPSUM TYPE X 15MM,INTERIOR,SAFETY,15.0,0.5905511811,8.0,29600,EXCELLENT,2 HOUR FIRE RATING,1.0,FIRE-RATED GYPSUM TYPE X 15MM,15.0,FINISH 1 [4],,0.0,,,0.0,,,0.0,,,0.0,,KNAUF,"BS EN 520:2004, BS 476-22, UL 263",FIRE | EXCELLENT DURABILITY,Gypsum Wall Board,Generic,RGB 221-221-219,,50.0,64.0,RGB 000-000-000,,RGB 000-000-000,Sand,,FIRE-RATED GYPSUM TYPE X 15MM. 15mm nominal thickness. For interior applications. Fire classification: A2 s1 d0. Density: 950 kg/m³. λ=0.16 W/mK. Complies with BS EN 520:2004.,Fix to framing at 300mm max centres using drywall screws. Tape and joint all edges and seams. Prime before decoration. Maintain fire rating - use fire stopping at penetrations. Maintain A2 s1 d0 in completed assembly.,,RGB 000-000-000,,RGB 000-000-000,Gypsum Wall Board,Gypsum Plasterboard,https://dl.polyhaven.org/file/ph-assets/Textures/jpg/2k/pink_plaster/pink_plaster_diff_2k.jpg,950.0,0.16,0.094,840.0,A2 s1 d0,0.15,35.0,150.0,280.0,1050000.0,Gypsum-Cut-Fire,Gypsum-Wall-Board,Solid fill,"245,245,220",3.5,0.0
01_CEILINGS,CEILINGS,A-CLG-GYPSUM-MOISTURE-RES-12.5MM-INT-GB06,CLG-006,A-CLG,MOISTURE RESISTANT,MOISTURE RESISTANT GYPSUM 12.5MM,INTERIOR,WET AREAS,12.5,0.4921259843,8.0,29600,GOOD,GREEN BOARD,1.0,MOISTURE RESISTANT GYPSUM 12.5MM,12.5,FINISH 1 [4],,0.0,,,0.0,,,0.0,,,0.0,,KNAUF,"BS EN 520:2004, ASTM C1396",WATER RESISTANT | ECO-FRIENDLY | GOOD DURABILITY,Gypsum Wall Board,Generic,RGB 221-221-219,,50.0,64.0,RGB 000-000-000,,RGB 000-000-000,Sand,,MOISTURE RESISTANT GYPSUM 12.5MM. 12.5mm nominal thickness. For interior applications. Fire classification: A2 s1 d0. Density: 950 kg/m³. λ=0.16 W/mK. Complies with BS EN 520:2004.,Fix to framing at 300mm max centres using drywall screws. Tape and joint all edges and seams. Prime before decoration. Maintain A2 s1 d0 in completed assembly. Install per BS EN 520:2004.,,RGB 000-000-000,,RGB 000-000-000,Gypsum Wall Board,Gypsum Plasterboard,https://dl.polyhaven.org/file/ph-assets/Textures/jpg/2k/painted_plaster/painted_plaster_diff_2k.jpg,950.0,0.16,0.078,840.0,A2 s1 d0,0.15,35.0,150.0,280.0,1050000.0,Gypsum-Cut,Gypsum-Wall-Board,Solid fill,"245,245,220",3.5,0.0
01_CEILINGS,CEILINGS,A-CLG-GYPSUM-MOISTURE-RES-15MM-INT-GB07,CLG-007,A-CLG,MOISTURE RESISTANT,MOISTURE RESISTANT GYPSUM 15MM,INTERIOR,WET AREAS,15.0,0.5905511811,8.0,29600,GOOD,HEAVY DUTY GREEN,1.0,MOISTURE RESISTANT GYPSUM 15MM,15.0,FINISH 1 [4],,0.0,,,0.0,,,0.0,,,0.0,,KNAUF,"BS EN 520:2004, ASTM C1396",WATER RESISTANT | ECO-FRIENDLY | GOOD DURABILITY,Gypsum Wall Board,Generic,RGB 221-221-219,,50.0,64.0,RGB 000-000-000,,RGB 000-000-000,Sand,,MOISTURE RESISTANT GYPSUM 15MM. 15mm nominal thickness. For interior applications. Fire classification: A2 s1 d0. Density: 950 kg/m³. λ=0.16 W/mK. Complies with BS EN 520:2004.,Fix to framing at 300mm max centres using drywall screws. Tape and joint all edges and seams. Prime before decoration. Maintain A2 s1 d0 in completed assembly. Install per BS EN 520:2004.,,RGB 000-000-000,,RGB 000-000-000,Gypsum Wall Board,Gypsum Plasterboard,https://dl.polyhaven.org/file/ph-assets/Textures/jpg/2k/painted_plaster/painted_plaster_diff_2k.jpg,950.0,0.16,0.094,840.0,A2 s1 d0,0.15,35.0,150.0,280.0,1050000.0,Gypsum-Cut,Gypsum-Wall-Board,Solid fill,"245,245,220",3.5,0.0
01_CEILINGS,CEILINGS,A-CLG-GYPSUM-MOLD-RESISTANT-12.5MM-INT-GB08,CLG-008,A-CLG,MOLD RESISTANT,MOLD RESISTANT GYPSUM 12.5MM,INTERIOR,HIGH HUMIDITY,12.5,0.4921259843,8.0,29600,EXCELLENT,PURPLE BOARD,1.0,MOLD RESISTANT GYPSUM 12.5MM,12.5,FINISH 1 [4],,0.0,,,0.0,,,0.0,,,0.0,,KNAUF,"BS EN 520:2004, ASTM C1396",ANTI-MICROBIAL | EXCELLENT DURABILITY,Gypsum Wall Board,Generic,RGB 221-221-219,,50.0,64.0,RGB 000-000-000,,RGB 000-000-000,Sand,,MOLD RESISTANT GYPSUM 12.5MM. 12.5mm nominal thickness. For interior applications. Fire classification: A2 s1 d0. Density: 950 kg/m³. λ=0.16 W/mK. Complies with BS EN 520:2004.,Fix to framing at 300mm max centres using drywall screws. Tape and joint all edges and seams. Prime before decoration. Maintain A2 s1 d0 in completed assembly. Install per BS EN 520:2004.,,RGB 000-000-000,,RGB 000-000-000,Gypsum Wall Board,Gypsum Plasterboard,https://dl.polyhaven.org/file/ph-assets/Textures/jpg/2k/painted_plaster/painted_plaster_diff_2k.jpg,950.0,0.16,0.078,840.0,A2 s1 d0,0.15,35.0,150.0,280.0,1050000.0,Gypsum-Cut,Gypsum-Wall-Board,Solid fill,"245,245,220",3.5,0.0
01_CEILINGS,CEILINGS,A-CLG-GYPSUM-IMPACT-RESISTANT-12.5MM-INT-GB09,CLG-009,A-CLG,IMPACT RESISTANT,IMPACT RESISTANT GYPSUM 12.5MM,INTERIOR,HIGH TRAFFIC,12.5,0.4921259843,8.0,29600,VERY GOOD,ABUSE RESISTANT,1.0,IMPACT RESISTANT GYPSUM 12.5MM,12.5,FINISH 1 [4],,0.0,,,0.0,,,0.0,,,0.0,,KNAUF,"BS EN 520:2004, ASTM C1396",IMPACT RESISTANT | VERY GOOD DURABILITY,Gypsum Wall Board,Generic,RGB 221-221-219,,50.0,64.0,RGB 000-000-000,,RGB 000-000-000,Sand,,IMPACT RESISTANT GYPSUM 12.5MM. 12.5mm nominal thickness. For interior applications. Fire classification: A2 s1 d0. Density: 950 kg/m³. λ=0.16 W/mK. Complies with BS EN 520:2004.,Fix to framing at 300mm max centres using drywall screws. Tape and joint all edges and seams. Prime before decoration. Maintain A2 s1 d0 in completed assembly. Install per BS EN 520:2004.,,RGB 000-000-000,,RGB 000-000-000,Gypsum Wall Board,Gypsum Plasterboard,https://dl.polyhaven.org/file/ph-assets/Textures/jpg/2k/painted_plaster/painted_plaster_diff_2k.jpg,950.0,0.16,0.078,840.0,A2 s1 d0,0.15,35.0,150.0,280.0,1050000.0,Gypsum-Cut,Gypsum-Wall-Board,Solid fill,"245,245,220",3.5,0.0
01_CEILINGS,CEILINGS,A-CLG-GYPSUM-ACOUSTIC-12.5MM-INT-GB10,CLG-010,A-CLG,ACOUSTIC GYPSUM,ACOUSTIC GYPSUM BOARD 12.5MM,INTERIOR,SOUND CONTROL,12.5,0.4921259843,8.0,29600,GOOD,SOUND DAMPING,1.0,ACOUSTIC GYPSUM BOARD 12.5MM,12.5,FINISH 1 [4],,0.0,,,0.0,,,0.0,,,0.0,,KNAUF,"BS EN 520:2004, ASTM C1396",WATER RESISTANT | ACOUSTIC | GOOD DURABILITY,Gypsum Wall Board,Generic,RGB 221-221-219,,50.0,64.0,RGB 000-000-000,,RGB 000-000-000,Sand,,ACOUSTIC GYPSUM BOARD 12.5MM. 12.5mm nominal thickness. For interior applications. Fire classification: A2 s1 d0. Density: 950 kg/m³. λ=0.16 W/mK. Complies with BS EN 520:2004.,Fix to framing at 300mm max centres using drywall screws. Tape and joint all edges and seams. Prime before decoration. Maintain A2 s1 d0 in completed assembly. Install per BS EN 520:2004.,,RGB 000-000-000,,RGB 000-000-000,Gypsum Wall Board,Gypsum Plasterboard,https://dl.polyhaven.org/file/ph-assets/Textures/jpg/2k/painted_plaster/painted_plaster_diff_2k.jpg,950.0,0.16,0.078,840.0,A2 s1 d0,0.15,35.0,150.0,280.0,1050000.0,Gypsum-Cut,Gypsum-Wall-Board,Solid fill,"245,245,220",3.5,0.0
