# v2.3 | 20260227 | BIM Template family_parameter_bindings
ParameterGroup,ParameterName,GUID,DataType,BindingType,Description,RevitCategory,Maps_To_Shared_Param_GUID
ASS_MNG,ASS_CAT_TXT,f8fe813a-44e9-5e47-9109-921171dc53b6,TEXT,Type,Catalog Number,Casework,f8fe813a-44e9-5e47-9109-921171dc53b6
ASS_MNG,ASS_CAT_TXT,f8fe813a-44e9-5e47-9109-921171dc53b6,TEXT,Type,Catalog Number,Electrical Equipment,f8fe813a-44e9-5e47-9109-921171dc53b6
ASS_MNG,ASS_CAT_TXT,f8fe813a-44e9-5e47-9109-921171dc53b6,TEXT,Type,Catalog Number,Furniture,f8fe813a-44e9-5e47-9109-921171dc53b6
ASS_MNG,ASS_CAT_TXT,f8fe813a-44e9-5e47-9109-921171dc53b6,TEXT,Type,Catalog Number,Generic Models,f8fe813a-44e9-5e47-9109-921171dc53b6
ASS_MNG,ASS_CAT_TXT,f8fe813a-44e9-5e47-9109-921171dc53b6,TEXT,Type,Catalog Number,Mechanical Equipment,f8fe813a-44e9-5e47-9109-921171dc53b6
ASS_MNG,ASS_CAT_TXT,f8fe813a-44e9-5e47-9109-921171dc53b6,TEXT,Type,Catalog Number,Plumbing Fixtures,f8fe813a-44e9-5e47-9109-921171dc53b6
ASS_MNG,ASS_CAT_TXT,f8fe813a-44e9-5e47-9109-921171dc53b6,TEXT,Type,Catalog Number,Specialty Equipment,f8fe813a-44e9-5e47-9109-921171dc53b6
ASS_MNG,ASS_CRITICALITY_RATING_NR,fbbf5b6d-776a-58e2-a3ce-cbd9fbfe3f93,NUMBER,Type,ASSETCRITICALITYRATING,Casework,fbbf5b6d-776a-58e2-a3ce-cbd9fbfe3f93
ASS_MNG,ASS_CRITICALITY_RATING_NR,fbbf5b6d-776a-58e2-a3ce-cbd9fbfe3f93,NUMBER,Type,ASSETCRITICALITYRATING,Electrical Equipment,fbbf5b6d-776a-58e2-a3ce-cbd9fbfe3f93
ASS_MNG,ASS_CRITICALITY_RATING_NR,fbbf5b6d-776a-58e2-a3ce-cbd9fbfe3f93,NUMBER,Type,ASSETCRITICALITYRATING,Furniture,fbbf5b6d-776a-58e2-a3ce-cbd9fbfe3f93
ASS_MNG,ASS_CRITICALITY_RATING_NR,fbbf5b6d-776a-58e2-a3ce-cbd9fbfe3f93,NUMBER,Type,ASSETCRITICALITYRATING,Generic Models,fbbf5b6d-776a-58e2-a3ce-cbd9fbfe3f93
ASS_MNG,ASS_CRITICALITY_RATING_NR,fbbf5b6d-776a-58e2-a3ce-cbd9fbfe3f93,NUMBER,Type,ASSETCRITICALITYRATING,Mechanical Equipment,fbbf5b6d-776a-58e2-a3ce-cbd9fbfe3f93
ASS_MNG,ASS_CRITICALITY_RATING_NR,fbbf5b6d-776a-58e2-a3ce-cbd9fbfe3f93,NUMBER,Type,ASSETCRITICALITYRATING,Plumbing Fixtures,fbbf5b6d-776a-58e2-a3ce-cbd9fbfe3f93
ASS_MNG,ASS_CRITICALITY_RATING_NR,fbbf5b6d-776a-58e2-a3ce-cbd9fbfe3f93,NUMBER,Type,ASSETCRITICALITYRATING,Specialty Equipment,fbbf5b6d-776a-58e2-a3ce-cbd9fbfe3f93
ASS_MNG,ASS_CST_ANNUAL_MAINTENANCE_UGX_NR,7523cd2c-274a-51bd-aa48-38df40b8f075,CURRENCY,Type,ANNUALMAINTENANCECOST(UGX),Casework,7523cd2c-274a-51bd-aa48-38df40b8f075
ASS_MNG,ASS_CST_ANNUAL_MAINTENANCE_UGX_NR,7523cd2c-274a-51bd-aa48-38df40b8f075,CURRENCY,Type,ANNUALMAINTENANCECOST(UGX),Electrical Equipment,7523cd2c-274a-51bd-aa48-38df40b8f075
ASS_MNG,ASS_CST_ANNUAL_MAINTENANCE_UGX_NR,7523cd2c-274a-51bd-aa48-38df40b8f075,CURRENCY,Type,ANNUALMAINTENANCECOST(UGX),Furniture,7523cd2c-274a-51bd-aa48-38df40b8f075
ASS_MNG,ASS_CST_ANNUAL_MAINTENANCE_UGX_NR,7523cd2c-274a-51bd-aa48-38df40b8f075,CURRENCY,Type,ANNUALMAINTENANCECOST(UGX),Generic Models,7523cd2c-274a-51bd-aa48-38df40b8f075
ASS_MNG,ASS_CST_ANNUAL_MAINTENANCE_UGX_NR,7523cd2c-274a-51bd-aa48-38df40b8f075,CURRENCY,Type,ANNUALMAINTENANCECOST(UGX),Mechanical Equipment,7523cd2c-274a-51bd-aa48-38df40b8f075
ASS_MNG,ASS_CST_ANNUAL_MAINTENANCE_UGX_NR,7523cd2c-274a-51bd-aa48-38df40b8f075,CURRENCY,Type,ANNUALMAINTENANCECOST(UGX),Plumbing Fixtures,7523cd2c-274a-51bd-aa48-38df40b8f075
ASS_MNG,ASS_CST_ANNUAL_MAINTENANCE_UGX_NR,7523cd2c-274a-51bd-aa48-38df40b8f075,CURRENCY,Type,ANNUALMAINTENANCECOST(UGX),Specialty Equipment,7523cd2c-274a-51bd-aa48-38df40b8f075
ASS_MNG,ASS_DEPARTMENT_ASSIGNMENT_TXT,f6d2f12b-d9af-5383-86c3-a3c3c937083d,TEXT,Type,DEPARTMENTASSIGNMENT,Casework,f6d2f12b-d9af-5383-86c3-a3c3c937083d
ASS_MNG,ASS_DEPARTMENT_ASSIGNMENT_TXT,f6d2f12b-d9af-5383-86c3-a3c3c937083d,TEXT,Type,DEPARTMENTASSIGNMENT,Electrical Equipment,f6d2f12b-d9af-5383-86c3-a3c3c937083d
