# v2.2 | 20260226 | BIM Template mep_materials
SOURCE_SHEET,MAT_DISCIPLINE,MAT_ISO_19650_ID,MAT_CODE,MAT_ELEMENT_TYPE,MAT_CATEGORY,MAT_NAME,MAT_APPLICATION,MAT_LOCATION,MAT_THICKNESS_MM,MAT_THICKNESS_INCH,MAT_COST_UNIT_USD,MAT_COST_UNIT_UGX,MAT_DURABILITY,MAT_SPECIFICATIONS,MAT_LAYER_COUNT,MAT_LAYER_1_MATERIAL,MAT_LAYER_1_THICKNESS_MM,MAT_LAYER_1_FUNCTION,MAT_LAYER_2_MATERIAL,MAT_LAYER_2_THICKNESS_MM,MAT_LAYER_2_FUNCTION,MAT_LAYER_3_MATERIAL,MAT_LAYER_3_THICKNESS_MM,MAT_LAYER_3_FUNCTION,MAT_LAYER_4_MATERIAL,MAT_LAYER_4_THICKNESS_MM,MAT_LAYER_4_FUNCTION,MAT_LAYER_5_MATERIAL,MAT_LAYER_5_THICKNESS_MM,MAT_LAYER_5_FUNCTION,MAT_MANUFACTURER,MAT_STANDARD,MAT_FEATURES,BLE_APP-REVIT-BASE-MATERIAL,BLE_APP-IDENTITY-CLASS,BLE_APP-COLOR,BLE_APP-TRANSPARENCY,BLE_APP-SMOOTHNESS,BLE_APP-SHININESS,BLE_APP-SURFACE-FG-COLOR,BLE_APP-SURFACE-FG-PATTERN,BLE_APP-CUT-FG-COLOR,BLE_APP-CUT-FG-PATTERN,BLE_APP-IMAGE,BLE_APP-DESCRIPTION,BLE_APP-COMMENTS,BLE_APP-SURFACE-BG-PATTERN,BLE_APP-SURFACE-BG-COLOR,BLE_APP-CUT-BG-PATTERN,BLE_APP-CUT-BG-COLOR,BLE_APP-PHYSICAL-ASSET,BLE_APP-THERMAL-ASSET,BLE_MAT_TEXTURE_URL,PROP_DENSITY_KG_M3,PROP_THERMAL_COND_W_MK,PROP_THERMAL_RES_M2K_W,PROP_SPECIFIC_HEAT_J_KGK,PROP_FIRE_RATING,PROP_ACOUSTIC_ABS,PROP_SOUND_RED_DB,PROP_CARBON_KG_M3,MAT_COST_ASSEMBLY_USD,MAT_COST_ASSEMBLY_UGX,BLE_APP-CUT_PATTERN,BLE_APP-SURFACE_PATTERN,BLE_APP-BACKGROUND_PATTERN,BLE_APP-SHADING_RGB,PROP_COMP_STRENGTH_MPA,PROP_TENS_STRENGTH_MPA
01_CABLE_TRAYS,CABLE-TRAYS,E-TRY-LADDER-300MM-1.5MM-INT-CT001,CTRAY-001,E-TRY,LADDER CABLE TRAY,LADDER CABLE TRAY 300MM X 1.5MM,POWER CABLES,CEILING,1.5,0.0590551181,12.0,44400.0,EXCELLENT,HOT DIP GALVANIZED,1.0,GALVANIZED STEEL,1.5,STRUCTURE,,,,,,,,,,,,,OBO BETTERMANN,UNBS 822-1,HEAVY DUTY,Steel,Metal,RGB 071-035-033,,50.0,64.0,RGB 000-000-000,,RGB 000-000-000,Steel,,LADDER CABLE TRAY 300MM X 1.5MM. 1.5mm nominal thickness. For power cables applications. Fire classification: A1 Non-combustible. Density: 2400 kg/m³. λ=1.4 W/mK. Complies with UNBS 822-1.,Maintain A1 Non-combustible in completed assembly. Install per UNBS 822-1.,,RGB 000-000-000,,RGB 000-000-000,Steel ASTM A992-50,Steel,https://dl.polyhaven.org/file/ph-assets/Textures/jpg/2k/concrete_floor_003/concrete_floor_003_diff_2k.jpg,2400.0,1.4,0.001,840.0,A1 Non-combustible,0.02,50.0,150.0,120.0,450000.0,Concrete-Cut,Concrete-Cut,Solid Fill,"192,192,192",25.0,2.5
01_CABLE_TRAYS,CABLE-TRAYS,E-TRY-LADDER-450MM-1.5MM-INT-CT002,CTRAY-002,E-TRY,LADDER CABLE TRAY,LADDER CABLE TRAY 450MM X 1.5MM,POWER CABLES,CEILING,1.5,0.0590551181,12.0,44400.0,EXCELLENT,HOT DIP GALVANIZED,1.0,GALVANIZED STEEL,1.5,STRUCTURE,,,,,,,,,,,,,OBO BETTERMANN,UNBS 822-1,HEAVY DUTY,Steel,Metal,RGB 071-035-033,,50.0,64.0,RGB 000-000-000,,RGB 000-000-000,Steel,,LADDER CABLE TRAY 450MM X 1.5MM. 1.5mm nominal thickness. For power cables applications. Fire classification: A1 Non-combustible. Density: 2400 kg/m³. λ=1.4 W/mK. Complies with UNBS 822-1.,Maintain A1 Non-combustible in completed assembly. Install per UNBS 822-1.,,RGB 000-000-000,,RGB 000-000-000,Steel ASTM A992-50,Steel,https://dl.polyhaven.org/file/ph-assets/Textures/jpg/2k/concrete_floor_003/concrete_floor_003_diff_2k.jpg,2400.0,1.4,0.001,840.0,A1 Non-combustible,0.02,50.0,150.0,120.0,450000.0,Concrete-Cut,Concrete-Cut,Solid Fill,"192,192,192",25.0,2.5
01_CABLE_TRAYS,CABLE-TRAYS,E-TRY-LADDER-600MM-2.0MM-INT-CT003,CTRAY-003,E-TRY,LADDER CABLE TRAY,LADDER CABLE TRAY 600MM X 2.0MM,POWER CABLES,CABLE SHAFT,2.0,0.0787401575,12.0,44400.0,EXCELLENT,HOT DIP GALVANIZED,1.0,GALVANIZED STEEL,2.0,STRUCTURE,,,,,,,,,,,,,OBO BETTERMANN,UNBS 822-1,EXTRA HEAVY DUTY,Steel,Metal,RGB 071-035-033,,50.0,64.0,RGB 000-000-000,,RGB 000-000-000,Steel,,LADDER CABLE TRAY 600MM X 2.0MM. 2mm nominal thickness. For power cables applications. Fire classification: A1 Non-combustible. Density: 2400 kg/m³. λ=1.4 W/mK. Complies with UNBS 822-1.,Maintain A1 Non-combustible in completed assembly. Install per UNBS 822-1.,,RGB 000-000-000,,RGB 000-000-000,Steel ASTM A992-50,Steel,https://dl.polyhaven.org/file/ph-assets/Textures/jpg/2k/concrete_floor_003/concrete_floor_003_diff_2k.jpg,2400.0,1.4,0.001,840.0,A1 Non-combustible,0.02,50.0,150.0,120.0,450000.0,Concrete-Cut,Concrete-Cut,Solid Fill,"192,192,192",25.0,2.5
01_CABLE_TRAYS,CABLE-TRAYS,E-TRY-PERF-200MM-1.2MM-INT-CT004,CTRAY-004,E-TRY,PERFORATED CABLE TRAY,PERFORATED CABLE TRAY 200MM X 1.2MM,CONTROL CABLES,CEILING,1.2,0.0472440945,12.0,44400.0,EXCELLENT,PRE-GALVANIZED,1.0,GALVANIZED STEEL,1.2,STRUCTURE,,,,,,,,,,,,,LEGRAND,UNBS 822-1,LIGHT DUTY,Steel,Metal,RGB 071-035-033,,50.0,64.0,RGB 000-000-000,,RGB 000-000-000,Steel,,PERFORATED CABLE TRAY 200MM X 1.2MM. 1.2mm nominal thickness. For control cables applications. Fire classification: A1 Non-combustible. Density: 2400 kg/m³. λ=1.4 W/mK. Complies with UNBS 822-1.,Maintain A1 Non-combustible in completed assembly. Install per UNBS 822-1.,,RGB 000-000-000,,RGB 000-000-000,Steel ASTM A992-50,Steel,https://dl.polyhaven.org/file/ph-assets/Textures/jpg/2k/concrete_floor_003/concrete_floor_003_diff_2k.jpg,2400.0,1.4,0.001,840.0,A1 Non-combustible,0.02,50.0,150.0,120.0,450000.0,Concrete-Cut,Concrete-Cut,Solid Fill,"192,192,192",25.0,2.5
01_CABLE_TRAYS,CABLE-TRAYS,E-TRY-PERF-300MM-1.5MM-INT-CT005,CTRAY-005,E-TRY,PERFORATED CABLE TRAY,PERFORATED CABLE TRAY 300MM X 1.5MM,DATA CABLES,CEILING,1.5,0.0590551181,12.0,44400.0,EXCELLENT,PRE-GALVANIZED,1.0,GALVANIZED STEEL,1.5,STRUCTURE,,,,,,,,,,,,,LEGRAND,UNBS 822-1,MEDIUM DUTY,Steel,Metal,RGB 071-035-033,,50.0,64.0,RGB 000-000-000,,RGB 000-000-000,Steel,,PERFORATED CABLE TRAY 300MM X 1.5MM. 1.5mm nominal thickness. For data cables applications. Fire classification: A1 Non-combustible. Density: 2400 kg/m³. λ=1.4 W/mK. Complies with UNBS 822-1.,Maintain A1 Non-combustible in completed assembly. Install per UNBS 822-1.,,RGB 000-000-000,,RGB 000-000-000,Steel ASTM A992-50,Steel,https://dl.polyhaven.org/file/ph-assets/Textures/jpg/2k/concrete_floor_003/concrete_floor_003_diff_2k.jpg,2400.0,1.4,0.001,840.0,A1 Non-combustible,0.02,50.0,150.0,120.0,450000.0,Concrete-Cut,Concrete-Cut,Solid Fill,"192,192,192",25.0,2.5
01_CABLE_TRAYS,CABLE-TRAYS,E-TRY-MESH-150MM-4MM-INT-CT006,CTRAY-006,E-TRY,WIRE MESH TRAY,WIRE MESH CABLE TRAY 150MM,DATA CABLES,CEILING,4.0,0.157480315,12.0,44400.0,EXCELLENT,ELECTRO-GALVANIZED,1.0,STEEL WIRE MESH,4.0,STRUCTURE,,,,,,,,,,,,,CABLOFIL,UNBS 822-1,FLEXIBLE ROUTING,Steel,Metal,RGB 071-035-033,,50.0,64.0,RGB 000-000-000,,RGB 000-000-000,Steel,,WIRE MESH CABLE TRAY 150MM. 4mm nominal thickness. For data cables applications. Fire classification: A1 Non-combustible. Density: 2400 kg/m³. λ=1.4 W/mK. Complies with UNBS 822-1.,Maintain A1 Non-combustible in completed assembly. Install per UNBS 822-1.,,RGB 000-000-000,,RGB 000-000-000,Steel ASTM A992-50,Steel,https://dl.polyhaven.org/file/ph-assets/Textures/jpg/2k/concrete_floor_003/concrete_floor_003_diff_2k.jpg,2400.0,1.4,0.003,840.0,A1 Non-combustible,0.02,50.0,150.0,120.0,450000.0,Concrete-Cut,Concrete-Cut,Solid Fill,"192,192,192",25.0,2.5
01_CABLE_TRAYS,CABLE-TRAYS,E-TRY-MESH-300MM-4MM-INT-CT007,CTRAY-007,E-TRY,WIRE MESH TRAY,WIRE MESH CABLE TRAY 300MM,DATA CABLES,CEILING,4.0,0.157480315,12.0,44400.0,EXCELLENT,ELECTRO-GALVANIZED,1.0,STEEL WIRE MESH,4.0,STRUCTURE,,,,,,,,,,,,,CABLOFIL,UNBS 822-1,FLEXIBLE ROUTING,Steel,Metal,RGB 071-035-033,,50.0,64.0,RGB 000-000-000,,RGB 000-000-000,Steel,,WIRE MESH CABLE TRAY 300MM. 4mm nominal thickness. For data cables applications. Fire classification: A1 Non-combustible. Density: 2400 kg/m³. λ=1.4 W/mK. Complies with UNBS 822-1.,Maintain A1 Non-combustible in completed assembly. Install per UNBS 822-1.,,RGB 000-000-000,,RGB 000-000-000,Steel ASTM A992-50,Steel,https://dl.polyhaven.org/file/ph-assets/Textures/jpg/2k/concrete_floor_003/concrete_floor_003_diff_2k.jpg,2400.0,1.4,0.003,840.0,A1 Non-combustible,0.02,50.0,150.0,120.0,450000.0,Concrete-Cut,Concrete-Cut,Solid Fill,"192,192,192",25.0,2.5
01_CABLE_TRAYS,CABLE-TRAYS,E-TRY-ALUM-400MM-2.0MM-INT-CT008,CTRAY-008,E-TRY,ALUMINUM CABLE TRAY,ALUMINUM LADDER TRAY 400MM X 2.0MM,POWER CABLES,OUTDOOR,2.0,0.0787401575,12.0,44400.0,EXCELLENT,MARINE GRADE,1.0,ALUMINUM 6063,2.0,STRUCTURE,,,,,,,,,,,,,EZYSTRUT,"BS EN 755:2016, BS EN 573",CORROSION RESISTANT,Steel,Metal,RGB 071-035-033,,50.0,64.0,RGB 000-000-000,,RGB 000-000-000,Steel,,ALUMINUM LADDER TRAY 400MM X 2.0MM. 2mm nominal thickness. For power cables applications. Fire classification: A1 Non-combustible. Density: 2700 kg/m³. λ=200.0 W/mK. Complies with BS EN 755:2016.,Allow for thermal expansion at fixings. Use isolation gaskets at dissimilar metals. Maintain A1 Non-combustible in completed assembly. Install per BS EN 755:2016.,,RGB 000-000-000,,RGB 000-000-000,Steel ASTM A992-50,Steel,https://dl.polyhaven.org/file/ph-assets/Textures/jpg/2k/aluminum_panel/aluminum_panel_diff_2k.jpg,2700.0,200.0,0.0,900.0,A1 Non-combustible,0.05,35.0,8500.0,5500.0,20625000.0,Steel-Section,Metal-Aluminum,Diagonal Crosshatch,"192,192,192",0.0,310.0
01_CABLE_TRAYS,CABLE-TRAYS,E-TRY-SS316-300MM-1.5MM-INT-CT009,CTRAY-009,E-TRY,STAINLESS STEEL TRAY,SS316 LADDER TRAY 300MM X 1.5MM,POWER CABLES,HARSH ENVIRONMENT,1.5,0.0590551181,20.0,74000.0,EXCELLENT,CORROSION PROOF,1.0,STAINLESS STEEL 316,1.5,STRUCTURE,,,,,,,,,,,,,ATKORE,UNBS 822-1,CHEMICAL RESISTANT,Steel,Metal,RGB 071-035-033,,50.0,64.0,RGB 000-000-000,,RGB 000-000-000,Steel,,SS316 LADDER TRAY 300MM X 1.5MM. 1.5mm nominal thickness. For power cables applications. Fire classification: A1 Non-combustible. Density: 2400 kg/m³. λ=1.4 W/mK. Complies with UNBS 822-1.,Maintain A1 Non-combustible in completed assembly. Install per UNBS 822-1.,,RGB 000-000-000,,RGB 000-000-000,Steel ASTM A992-50,Steel,https://dl.polyhaven.org/file/ph-assets/Textures/jpg/2k/concrete_floor_003/concrete_floor_003_diff_2k.jpg,2400.0,1.4,0.001,840.0,A1 Non-combustible,0.02,50.0,150.0,120.0,450000.0,Concrete-Cut,Concrete-Cut,Solid Fill,"192,192,192",25.0,2.5
01_CABLE_TRAYS,CABLE-TRAYS,E-TRY-FIRE-300MM-1.5MM-INT-CT010,CTRAY-010,E-TRY,FIRE RATED CABLE TRAY,FIRE RATED CABLE TRAY 300MM 2HR,FIRE ALARM,FIRE ZONE,1.5,0.0590551181,12.0,44400.0,EXCELLENT,INTUMESCENT COATED,2.0,GALVANIZED STEEL,1.5,STRUCTURE,INTUMESCENT PAINT,0.5,FIRE PROTECTION,,,,,,120 MINS,,,,TENMAT,UNBS 822-1,CIRCUIT INTEGRITY,Steel,Metal,RGB 071-035-033,,50.0,64.0,RGB 000-000-000,,RGB 000-000-000,Steel,,FIRE RATED CABLE TRAY 300MM 2HR. 1.5mm nominal thickness. For fire alarm applications. Fire classification: A1 Non-combustible. Density: 2400 kg/m³. λ=1.4 W/mK. Complies with UNBS 822-1.,Maintain A1 Non-combustible in completed assembly. Install per UNBS 822-1.,,RGB 000-000-000,,RGB 000-000-000,Steel ASTM A992-50,Steel,https://dl.polyhaven.org/file/ph-assets/Textures/jpg/2k/concrete_floor_003/concrete_floor_003_diff_2k.jpg,2400.0,1.4,0.001,840.0,A1 Non-combustible,0.02,50.0,150.0,120.0,450000.0,Concrete-Cut,Concrete-Cut,Solid Fill,"192,192,192",25.0,2.5
