# v2.3 | 20260227 | BIM Template category_bindings
Parameter_Name,Revit_Category,Binding_Type,Is_Shared
ASS_CAT_TXT,Air Terminals,Type,True
ASS_CAT_TXT,Cable Trays,Type,True
ASS_CAT_TXT,Casework,Type,True
ASS_CAT_TXT,Ceilings,Type,True
ASS_CAT_TXT,Conduits,Type,True
ASS_CAT_TXT,Curtain Panels,Type,True
ASS_CAT_TXT,Curtain Wall Mullions,Type,True
ASS_CAT_TXT,Doors,Type,True
ASS_CAT_TXT,Ducts,Type,True
ASS_CAT_TXT,Electrical Equipment,Type,True
ASS_CAT_TXT,Electrical Fixtures,Type,True
ASS_CAT_TXT,Floors,Type,True
ASS_CAT_TXT,Furniture,Type,True
ASS_CAT_TXT,Generic Models,Type,True
ASS_CAT_TXT,Lighting Fixtures,Type,True
ASS_CAT_TXT,Mechanical Equipment,Type,True
ASS_CAT_TXT,Pipe Accessories,Type,True
ASS_CAT_TXT,Pipe Fittings,Type,True
ASS_CAT_TXT,Pipes,Type,True
ASS_CAT_TXT,Plumbing Equipment,Type,True
ASS_CAT_TXT,Plumbing Fixtures,Type,True
ASS_CAT_TXT,Ramps,Type,True
ASS_CAT_TXT,Roofs,Type,True
ASS_CAT_TXT,Rooms,Type,True
ASS_CAT_TXT,Specialty Equipment,Type,True
ASS_CAT_TXT,Sprinklers,Type,True
ASS_CAT_TXT,Stairs,Type,True
ASS_CAT_TXT,Walls,Type,True
ASS_CAT_TXT,Windows,Type,True
ASS_CRITICALITY_RATING_NR,Air Terminals,Type,True
ASS_CRITICALITY_RATING_NR,Cable Trays,Type,True
ASS_CRITICALITY_RATING_NR,Casework,Type,True
ASS_CRITICALITY_RATING_NR,Conduits,Type,True
ASS_CRITICALITY_RATING_NR,Electrical Equipment,Type,True
ASS_CRITICALITY_RATING_NR,Electrical Fixtures,Type,True
ASS_CRITICALITY_RATING_NR,Furniture,Type,True
ASS_CRITICALITY_RATING_NR,Generic Models,Type,True
ASS_CRITICALITY_RATING_NR,Lighting Fixtures,Type,True
ASS_CRITICALITY_RATING_NR,Mechanical Equipment,Type,True
ASS_CRITICALITY_RATING_NR,Plumbing Equipment,Type,True
ASS_CRITICALITY_RATING_NR,Plumbing Fixtures,Type,True
ASS_CRITICALITY_RATING_NR,Specialty Equipment,Type,True
ASS_CRITICALITY_RATING_NR,Sprinklers,Type,True
ASS_CST_ANNUAL_MAINTENANCE_UGX_NR,Air Terminals,Type,True
ASS_CST_ANNUAL_MAINTENANCE_UGX_NR,Cable Trays,Type,True
ASS_CST_ANNUAL_MAINTENANCE_UGX_NR,Casework,Type,True
ASS_CST_ANNUAL_MAINTENANCE_UGX_NR,Conduits,Type,True
ASS_CST_ANNUAL_MAINTENANCE_UGX_NR,Electrical Equipment,Type,True
ASS_CST_ANNUAL_MAINTENANCE_UGX_NR,Electrical Fixtures,Type,True
ASS_CST_ANNUAL_MAINTENANCE_UGX_NR,Furniture,Type,True
ASS_CST_ANNUAL_MAINTENANCE_UGX_NR,Generic Models,Type,True
ASS_CST_ANNUAL_MAINTENANCE_UGX_NR,Lighting Fixtures,Type,True
ASS_CST_ANNUAL_MAINTENANCE_UGX_NR,Mechanical Equipment,Type,True
ASS_CST_ANNUAL_MAINTENANCE_UGX_NR,Plumbing Equipment,Type,True
ASS_CST_ANNUAL_MAINTENANCE_UGX_NR,Plumbing Fixtures,Type,True
ASS_CST_ANNUAL_MAINTENANCE_UGX_NR,Specialty Equipment,Type,True
ASS_CST_ANNUAL_MAINTENANCE_UGX_NR,Sprinklers,Type,True
ASS_CST_INSTALL_UGX_NR,Air Terminals,Type,True
ASS_CST_INSTALL_UGX_NR,Cable Trays,Type,True
ASS_CST_INSTALL_UGX_NR,Casework,Type,True
ASS_CST_INSTALL_UGX_NR,Conduits,Type,True
ASS_CST_INSTALL_UGX_NR,Electrical Equipment,Type,True
ASS_CST_INSTALL_UGX_NR,Electrical Fixtures,Type,True
ASS_CST_INSTALL_UGX_NR,Furniture,Type,True
ASS_CST_INSTALL_UGX_NR,Generic Models,Type,True
ASS_CST_INSTALL_UGX_NR,Lighting Fixtures,Type,True
ASS_CST_INSTALL_UGX_NR,Mechanical Equipment,Type,True
ASS_CST_INSTALL_UGX_NR,Plumbing Equipment,Type,True
ASS_CST_INSTALL_UGX_NR,Plumbing Fixtures,Type,True
ASS_CST_INSTALL_UGX_NR,Specialty Equipment,Type,True
ASS_CST_INSTALL_UGX_NR,Sprinklers,Type,True
ASS_CST_LIFECYCLE_UGX_NR,Air Terminals,Type,True
ASS_CST_LIFECYCLE_UGX_NR,Cable Trays,Type,True
ASS_CST_LIFECYCLE_UGX_NR,Casework,Type,True
ASS_CST_LIFECYCLE_UGX_NR,Conduits,Type,True
ASS_CST_LIFECYCLE_UGX_NR,Electrical Equipment,Type,True
ASS_CST_LIFECYCLE_UGX_NR,Electrical Fixtures,Type,True
ASS_CST_LIFECYCLE_UGX_NR,Furniture,Type,True
ASS_CST_LIFECYCLE_UGX_NR,Generic Models,Type,True
ASS_CST_LIFECYCLE_UGX_NR,Lighting Fixtures,Type,True
ASS_CST_LIFECYCLE_UGX_NR,Mechanical Equipment,Type,True
ASS_CST_LIFECYCLE_UGX_NR,Plumbing Equipment,Type,True
ASS_CST_LIFECYCLE_UGX_NR,Plumbing Fixtures,Type,True
ASS_CST_LIFECYCLE_UGX_NR,Specialty Equipment,Type,True
ASS_CST_LIFECYCLE_UGX_NR,Sprinklers,Type,True
