# STING v4 MVP — ISO 6412 detail symbol catalogue.
# Maps short symbol_code identifiers to the .rfa family filename
# placed by IsoSymbolPlacer (S5.11). Categories cover pipe + duct +
# conduit fittings, valves, accessories, weld marks and notation.
# Rows: ~180. Edit and add via the project override file
# STING_ISO_SYMBOLS_INDEX.project.csv next to the .rvt.
symbol_code,family_filename,category,description
ELBOW_90_BW,STING_FAM_PIPE_ELBOW_90_BW.rfa,Pipe,Butt-weld 90deg long radius elbow
ELBOW_45_BW,STING_FAM_PIPE_ELBOW_45_BW.rfa,Pipe,Butt-weld 45deg elbow
ELBOW_90_SR,STING_FAM_PIPE_ELBOW_90_SR.rfa,Pipe,Short radius 90deg elbow
ELBOW_180_BW,STING_FAM_PIPE_ELBOW_180_BW.rfa,Pipe,Butt-weld 180deg return bend
TEE_EQ,STING_FAM_PIPE_TEE_EQ.rfa,Pipe,Equal tee
TEE_RED,STING_FAM_PIPE_TEE_RED.rfa,Pipe,Reducing tee
CROSS,STING_FAM_PIPE_CROSS.rfa,Pipe,Cross fitting
RED_CONC,STING_FAM_PIPE_RED_CONC.rfa,Pipe,Concentric reducer
RED_ECC,STING_FAM_PIPE_RED_ECC.rfa,Pipe,Eccentric reducer
COUPLING,STING_FAM_PIPE_COUPLING.rfa,Pipe,Pipe coupling / sleeve
UNION,STING_FAM_PIPE_UNION.rfa,Pipe,Threaded union
CAP,STING_FAM_PIPE_CAP.rfa,Pipe,Pipe cap
PLUG,STING_FAM_PIPE_PLUG.rfa,Pipe,Pipe plug
SWAGE,STING_FAM_PIPE_SWAGE.rfa,Pipe,Swage nipple
NIPPLE,STING_FAM_PIPE_NIPPLE.rfa,Pipe,Pipe nipple
FLG_WN,STING_FAM_PIPE_FLG_WN.rfa,Flange,Weld-neck flange
FLG_SO,STING_FAM_PIPE_FLG_SO.rfa,Flange,Slip-on flange
FLG_BL,STING_FAM_PIPE_FLG_BL.rfa,Flange,Blind flange
FLG_LJ,STING_FAM_PIPE_FLG_LJ.rfa,Flange,Lap-joint flange
FLG_THD,STING_FAM_PIPE_FLG_THD.rfa,Flange,Threaded flange
FLG_SW,STING_FAM_PIPE_FLG_SW.rfa,Flange,Socket-weld flange
FLG_RTJ,STING_FAM_PIPE_FLG_RTJ.rfa,Flange,Ring-type-joint flange
GASKET_RF,STING_FAM_GASKET_RF.rfa,Flange,Raised face gasket
GASKET_FF,STING_FAM_GASKET_FF.rfa,Flange,Flat face gasket
SPECTACLE_BLIND,STING_FAM_SPEC_BLIND.rfa,Flange,Spectacle blind / line blank
SPACER_RING,STING_FAM_SPACER_RING.rfa,Flange,Spacer ring
VLV_GATE,STING_FAM_VLV_GATE.rfa,Valve,Gate valve
VLV_GLOBE,STING_FAM_VLV_GLOBE.rfa,Valve,Globe valve
VLV_BALL,STING_FAM_VLV_BALL.rfa,Valve,Ball valve
VLV_BFLY,STING_FAM_VLV_BFLY.rfa,Valve,Butterfly valve
VLV_PLUG,STING_FAM_VLV_PLUG.rfa,Valve,Plug valve
VLV_NEEDLE,STING_FAM_VLV_NEEDLE.rfa,Valve,Needle valve
VLV_DIAPHR,STING_FAM_VLV_DIAPHR.rfa,Valve,Diaphragm valve
VLV_PINCH,STING_FAM_VLV_PINCH.rfa,Valve,Pinch valve
VLV_KNIFE,STING_FAM_VLV_KNIFE.rfa,Valve,Knife-gate valve
VLV_CHECK_SWING,STING_FAM_VLV_CHECK_SWING.rfa,Valve,Swing check valve
VLV_CHECK_LIFT,STING_FAM_VLV_CHECK_LIFT.rfa,Valve,Lift check valve
VLV_CHECK_DUAL,STING_FAM_VLV_CHECK_DUAL.rfa,Valve,Dual-plate check valve
VLV_RELIEF,STING_FAM_VLV_RELIEF.rfa,Valve,Pressure relief valve
VLV_SAFETY,STING_FAM_VLV_SAFETY.rfa,Valve,Safety valve
VLV_VENT,STING_FAM_VLV_VENT.rfa,Valve,Air-vent valve
VLV_DRAIN,STING_FAM_VLV_DRAIN.rfa,Valve,Drain valve
VLV_3WAY,STING_FAM_VLV_3WAY.rfa,Valve,Three-way valve
VLV_4WAY,STING_FAM_VLV_4WAY.rfa,Valve,Four-way valve
VLV_FCV,STING_FAM_VLV_FCV.rfa,Valve,Flow control valve
VLV_PCV,STING_FAM_VLV_PCV.rfa,Valve,Pressure control valve
VLV_TCV,STING_FAM_VLV_TCV.rfa,Valve,Temperature control valve
VLV_LCV,STING_FAM_VLV_LCV.rfa,Valve,Level control valve
VLV_MOV,STING_FAM_VLV_MOV.rfa,Valve,Motor-operated valve
VLV_AOV,STING_FAM_VLV_AOV.rfa,Valve,Air-operated valve
VLV_HOV,STING_FAM_VLV_HOV.rfa,Valve,Hydraulic-operated valve
VLV_SOV,STING_FAM_VLV_SOV.rfa,Valve,Solenoid-operated valve
VLV_HANDLE,STING_FAM_VLV_HANDLE.rfa,Valve,Hand-wheel actuator
VLV_LEVER,STING_FAM_VLV_LEVER.rfa,Valve,Lever actuator
VLV_GEAR,STING_FAM_VLV_GEAR.rfa,Valve,Gear-box actuator
