# MATERIAL_LOOKUP.csv v1.1
# Material variation lookup tables.
# Format: Category, TypeKey, Property, Value, Unit, Description
# TypeKey matches element parameter values (e.g., BLE_BRICK_BOND_TYPE_TXT).
#
# CONSUMED vs REFERENCE-ONLY (R2-2):
#   CONSUMED by the BOQ engine:
#     - DENSITY_KG_M3 / CARBON_KG_PER_M3  → MaterialLookupCsv.GetDensity/GetCarbon
#       (drive cost-mass + per-m³ embodied-carbon takeoff in BOQCostManager)
#     - STEEL_KG_PER_M3 (rebar)           → AutoRebarEstimator via ResolveAvgRatio
#   REFERENCE-ONLY (NOT auto-takeoff inputs — there is no FormulaEngine.Lookup in
#   the codebase and no cement/sand/aggregate line-item takeoff):
#     - CEMENT_BAGS_PER_M3, SAND_RATIO, AGGREGATE_RATIO, WATER_*  → manual QS use.
#       Correcting these (e.g. cement content to BS 8500) improves the table's
#       accuracy for a quantity surveyor reading it by hand, but changes NO
#       delivered BOQ quantity. The main concrete m³ line is unaffected.
#
# CONCRETE GRADES (BS 8500 / UNBS)
# TypeKey sourced from: BLE_STRUCT_CONCRETE_GRADE_TXT
Category,TypeKey,Property,Value,Unit,Description
# BOQ-accuracy audit F2/F3/F4: cement content raised to BS 8500 mid-range
# (bags @ 50 kg), CARBON_KG_PER_M3 re-set to ICE v3.0 RC cradle-to-gate per
# grade, DENSITY_KG_M3 added (plain→reinforced 2350-2500). bag = 50 kg.
CONCRETE,C15,CEMENT_BAGS_PER_M3,4.8,bags/m³,Cement 240 kg/m³ (1:3:6 mass-batch BS 8500)
CONCRETE,C15,AGGREGATE_RATIO,0.92,,Coarse aggregate volume fraction
CONCRETE,C15,SAND_RATIO,0.46,,Fine aggregate (sand) volume fraction
CONCRETE,C15,WATER_PER_BAG,29,L,Water per 50kg bag (W/C 0.58)
CONCRETE,C15,STEEL_KG_PER_M3,50,kg/m³,Typical reinforcement (lightly reinforced)
CONCRETE,C15,CARBON_KG_PER_M3,250,kgCO₂/m³,ICE v3.0 RC ~0.106 kg/kg × 2350
CONCRETE,C15,DENSITY_KG_M3,2350,kg/m³,Lightly reinforced concrete
CONCRETE,C20,CEMENT_BAGS_PER_M3,6.2,bags/m³,Cement 310 kg/m³ (C16-20 BS 8500)
CONCRETE,C20,AGGREGATE_RATIO,0.90,,Coarse aggregate volume fraction
