# v2.3 | 20260227 | BIM Template mr_parameters
Revit_Category,Parameter_Name,Parameter_GUID,Data_Type,Group_Name,Binding_Type,Description,Has_Formula,Formula,Input_Parameters,Discipline,User_Modifiable,Hide_When_No_Value
Generic Models,ASS_CAT_TXT,f8fe813a-44e9-5e47-9109-921171dc53b6,TEXT,ASS_MNG,Type,Ass Cat Txt [ISO 19650-3:2020],False,,,MULTI,1,0
Generic Models,ASS_CST_QUANTITY_NR,3c189e63-383c-5011-b7d9-873faed4e6c6,NUMBER,ASS_MNG,Type,Ass Cst Quantity Nr [ISO 19650-3:2020],False,,,MULTI,1,0
Generic Models,ASS_CST_TOTAL_UGX_NR,32347c5d-1605-50ab-9c8c-5dc36c0c1765,CURRENCY,ASS_MNG,Type,Ass Cst Total Ugx Nr [ISO 19650-3:2020],True,ASS_CST_UNIT_PRICE_UGX_NR * ASS_CST_QUANTITY_NR,"ASS_CST_UNIT_PRICE_UGX_NR, ASS_CST_QUANTITY_NR",COSTING,0,0
Generic Models,ASS_CST_UNIT_PRICE_UGX_NR,57d29e0c-b1ef-50e6-9c3d-d58e751c9f49,CURRENCY,ASS_MNG,Type,Ass Cst Unit Price Ugx Nr [ISO 19650-3:2020],False,,,MULTI,1,0
Electrical Equipment,ASS_DESCRIPTION_TXT,3ee68ef4-0cad-505f-a973-8817e9cf5d08,TEXT,ASS_MNG,Type,Ass Description Txt [ISO 19650-3:2020],False,,,MULTI,1,0
Rooms,ASS_DESIGN_LTG_LVL_LUX_NR,bfacc484-130a-5d4f-ab93-6980d071f989,NUMBER,ASS_MNG,Instance,Ass Design Ltg Lvl Lux Nr [ISO 19650-3:2020],False,,,MULTI,1,0
Rooms,ASS_DESIGN_OCCUPANCY_INT,65769434-297a-58ea-b9af-7a885f365936,INTEGER,ASS_MNG,Type,Ass Design Occupancy Int [ISO 19650-3:2020],False,,,MULTI,1,0
Electrical Equipment,ASS_ID_TXT,8e35ebf9-4a16-5901-b566-4a5e0edd17aa,TEXT,ASS_MNG,Type,Ass Id Txt [ISO 19650-3:2020],False,,,MULTI,1,0
Electrical Equipment,ASS_LOC_TXT,b7469c27-c80e-5b59-b999-1a99ba620cd1,TEXT,ASS_MNG,Type,Ass Loc Txt [ISO 19650-3:2020],False,,,MULTI,1,0
Electrical Equipment,ASS_MANUFACTURER_TXT,822bb665-a508-5268-b490-28d8546d6300,TEXT,ASS_MNG,Type,Ass Manufacturer Txt [ISO 19650-3:2020],False,,,MULTI,1,0
Electrical Equipment,ASS_MODEL_NR_TXT,305de400-5d2f-54f6-a4ed-acc93f5a1ab2,TEXT,ASS_MNG,Type,Ass Model Nr Txt [ISO 19650-3:2020],False,,,MULTI,1,0
Rooms,ASS_ROOM_AREA_SQ_M,1514d5cf-3d32-5a68-b5cb-f18d97060e9f,AREA,ASS_MNG,Type,Ass Room Area Sq M [ISO 19650-3:2020],False,,,MULTI,1,0
Rooms,ASS_ROOM_FUNCTION_USE_TXT,124f7ab0-bdf4-5740-9c65-22cdac508908,TEXT,ASS_MNG,Type,Ass Room Function Use Txt [ISO 19650-3:2020],False,,,MULTI,1,0
Rooms,ASS_ROOM_VOLUME_CU_M,bdc645e1-057b-5dd3-a08f-c6fba2b5118e,VOLUME,ASS_MNG,Type,Ass Room Volume Cu M [ISO 19650-3:2020],True,ASS_ROOM_AREA_SQ_M * (BLE_CEILING_HEIGHT_MM / 1000),"ASS_ROOM_AREA_SQ_M, BLE_CEILING_HEIGHT_MM",MULTI,0,0
Generic Models,ASS_SERIAL_NR_TXT,56584938-d8f5-5c70-9ca1-2ac4568e9ff9,TEXT,ASS_MNG,Type,Ass Serial Nr Txt [ISO 19650-3:2020],False,,,MULTI,1,0
Electrical Equipment,ASS_STATUS_TXT,b97665a8-5e34-585b-9674-fbdd83d7637f,TEXT,ASS_MNG,Type,Ass Status Txt [ISO 19650-3:2020],False,,,MULTI,1,0
Sprinklers,ASS_SYSTEM_TYPE_TXT,2b3658d9-bfc6-56db-9df5-901337fde0f5,TEXT,ASS_MNG,Type,Ass System Type Txt [ISO 19650-3:2020],False,,,MULTI,1,0
Electrical Equipment,ASS_TAG_1_TXT,1eeb577d-342d-5039-97f1-f1dd8d80c8c4,TEXT,ASS_MNG,Type,Ass Tag 1 Txt [ISO 19650-3:2020],False,,,MULTI,1,0
Electrical Equipment,ASS_TAG_2_TXT,bf6cb687-478f-459a-8c5d-ece073c24831,TEXT,ASS_MNG,Type,Ass Tag 2 Txt [ISO 19650-3:2020],False,,,MULTI,1,0
Generic Models,ASS_TAG_3_TXT,068abd3b-650e-4a7c-ac07-82e556160de0,TEXT,ASS_MNG,Type,Ass Tag 3 Txt [ISO 19650-3:2020],False,,,MULTI,1,0
Rooms,BLE_CEILING_FINISH_TXT,7fc24153-41ea-5f24-b53a-31e8d69ce44f,TEXT,CST_PROC,Type,Ble Ceiling Finish Txt [ISO 19650-1:2018],False,,,COSTING,1,0
Ceilings,BLE_CEILING_GRID_SZ_MM,f639312b-a94a-53de-a653-b97705fd197a,LENGTH,CST_PROC,Type,Ble Ceiling Grid Sz Mm [ISO 19650-1:2018],False,,,COSTING,1,0
Ceilings,BLE_CEILING_HEIGHT_MM,b1eaf7da-66bc-50d7-8261-eba13ac865e6,LENGTH,CST_PROC,Type,Ble Ceiling Height Mm [ISO 19650-1:2018],False,,,COSTING,1,0
Ceilings,BLE_CEILING_LIGHT_REFLECTANCE_PCT,711abfdb-7127-56c1-b3f5-7f318171812d,NUMBER,CST_PROC,Type,Ble Ceiling Light Reflectance Pct [ISO 19650-1:2018],False,,,COSTING,1,0
Ceilings,BLE_CEILING_MAT_TXT,38f20d97-20e0-5896-a8c5-ac8e20d9beb3,TEXT,CST_PROC,Type,Ble Ceiling Mat Txt [ISO 19650-1:2018],False,,,COSTING,1,0
