# v2.8 | 20260227 | MR_SCHEDULES – All 1257 rows, all 16 cols fully populated
Record_Type,Source_File,Discipline,Schedule_Name,Category,Schedule_Type,Multi_Categories,Fields,Filters,Sorting,Grouping,Totals,Formulas,Header_Color,Text_Color,Background_Color
SCHEDULE,ARCH_Comprehensive,Architecture,Accessibility Schedule,Rooms,Schedule,Rooms,"ASS_ID_TXT, ASS_LOC_TXT, ASS_TAG_1_TXT, PRJ_COMMENTS_TXT",Level: (not equals) <None>,Level: Ascending; Number: Ascending,Level,None,"ASS_ID_TXT=Mark, ASS_LOC_TXT=Level, ASS_TAG_1_TXT=Type Mark, PRJ_COMMENTS_TXT=Comments",#1A4B6E,#FFFFFF,#FFFFFF
SCHEDULE,ARCH_Comprehensive,Architecture,Acoustic Schedule,Rooms,Schedule,Rooms,"ASS_ID_TXT, ASS_LOC_TXT, ASS_RM_COD_TXT, ASS_TAG_1_TXT, PRJ_COMMENTS_TXT",Level: (not equals) <None>,Level: Ascending; Number: Ascending,Level,None,"ASS_ID_TXT=Mark, ASS_LOC_TXT=Level, ASS_RM_COD_TXT=Number, ASS_TAG_1_TXT=Type Mark, PRJ_COMMENTS_TXT=Comments",#1A4B6E,#FFFFFF,#FFFFFF
SCHEDULE,ARCH_Comprehensive,Architecture,Ass_Cat_Txt,Generic Models,Schedule,Generic Models,ASS_DEPARTMENT_ASSIGNMENT_TXT,None,Level: Ascending; Type Mark: Ascending,Level,None,ASS_DEPARTMENT_ASSIGNMENT_TXT=Department,#1A4B6E,#FFFFFF,#FFFFFF
SCHEDULE,ARCH_Comprehensive,Architecture,Asset Schedule,Generic Models,Schedule,Generic Models,"ASS_CAT_TXT, ASS_DESCRIPTION_TXT, ASS_EQUIPMENT_TAG_TXT, ASS_ID_TXT, ASS_LOC_TXT, ASS_MANUFACTURER_TXT, ASS_MODEL_NR_TXT, ASS_PART_NUMBER_TXT, ASS_SERIAL_NR_TXT, PRJ_COMMENTS_TXT",None,Level: Ascending; Type Mark: Ascending,Level,None,"ASS_CAT_TXT=Category, ASS_DESCRIPTION_TXT=Description, ASS_EQUIPMENT_TAG_TXT=Mark, ASS_ID_TXT=Mark, ASS_LOC_TXT=Level, ASS_MANUFACTURER_TXT=Manufacturer, ASS_MODEL_NR_TXT=Model, ASS_PART_NUMBER_TXT=Part Number, ASS_SERIAL_NR_TXT=Serial Number, PRJ_COMMENTS_TXT=Comments",#1A4B6E,#FFFFFF,#FFFFFF
SCHEDULE,ARCH_Comprehensive,Architecture,Ceiling Schedule,Ceilings,Schedule,Ceilings,"ASS_ID_TXT, ASS_LVL_COD_TXT, ASS_MANUFACTURER_TXT, ASS_RM_COD_TXT, ASS_TAG_1_TXT, BLE_CEILING_HEIGHT_MM, BLE_ELE_AREA_SQ_M, FLS_PROT_FLS_RESISTANCE_RATING_MINUTES_MIN, PRJ_COMMENTS_TXT",None,Level: Ascending; Type Mark: Ascending,Level,BLE_ELE_AREA_SQ_M: SUM,"ASS_ID_TXT=Mark, ASS_LVL_COD_TXT=Level, ASS_MANUFACTURER_TXT=Manufacturer, ASS_RM_COD_TXT=Number, ASS_TAG_1_TXT=Type Mark, BLE_CEILING_HEIGHT_MM=Height Offset From Level, BLE_ELE_AREA_SQ_M=Area, FLS_PROT_FLS_RESISTANCE_RATING_MINUTES_MIN=Fire Rating, PRJ_COMMENTS_TXT=Comments",#1A4B6E,#FFFFFF,#FFFFFF
SCHEDULE,ARCH_Comprehensive,Architecture,Concrete Schedule,Structural Foundations,Schedule,Structural Foundations,"ASS_ID_TXT, ASS_LOC_TXT, ASS_TAG_1_TXT, BLE_STRUCT_ELE_TYPE_TXT, PRJ_COMMENTS_TXT, PRJ_GRID_REF_TXT",None,Level: Ascending; Type Mark: Ascending,Level,None,"ASS_ID_TXT=Mark, ASS_LOC_TXT=Level, ASS_TAG_1_TXT=Type Mark, BLE_STRUCT_ELE_TYPE_TXT=Type Name, PRJ_COMMENTS_TXT=Comments, PRJ_GRID_REF_TXT=Grid Reference",#1A4B6E,#FFFFFF,#FFFFFF
SCHEDULE,ARCH_Comprehensive,Architecture,Cost Schedule,Generic Models,Schedule,Generic Models,"ASS_CST_UNIT_PRICE_UGX_NR, ASS_DESCRIPTION_TXT, ASS_ID_TXT, PRJ_COMMENTS_TXT",None,Level: Ascending; Type Mark: Ascending,Level,ASS_CST_UNIT_PRICE_UGX_NR: SUM,"ASS_CST_UNIT_PRICE_UGX_NR=Cost, ASS_DESCRIPTION_TXT=Description, ASS_ID_TXT=Mark, PRJ_COMMENTS_TXT=Comments",#1A4B6E,#FFFFFF,#FFFFFF
SCHEDULE,ARCH_Comprehensive,Architecture,Door Schedule,Doors,Schedule,Doors,"ASS_ID_TXT, ASS_LOC_TXT, ASS_LVL_COD_TXT, ASS_MANUFACTURER_TXT, ASS_MODEL_NR_TXT, ASS_RM_COD_TXT, ASS_TAG_1_TXT, BLE_DOOR_HEIGHT_MM, BLE_DOOR_WIDTH_MM, FLS_PROT_FLS_RESISTANCE_RATING_MINUTES_MIN, PRJ_COMMENTS_TXT",None,Level: Ascending; Type Mark: Ascending,Level,None,"ASS_ID_TXT=Mark, ASS_LOC_TXT=Level, ASS_LVL_COD_TXT=Level, ASS_MANUFACTURER_TXT=Manufacturer, ASS_MODEL_NR_TXT=Model, ASS_RM_COD_TXT=Number, ASS_TAG_1_TXT=Type Mark, BLE_DOOR_HEIGHT_MM=Height, BLE_DOOR_WIDTH_MM=Width, FLS_PROT_FLS_RESISTANCE_RATING_MINUTES_MIN=Fire Rating, PRJ_COMMENTS_TXT=Comments",#1A4B6E,#FFFFFF,#FFFFFF
SCHEDULE,ARCH_Comprehensive,Architecture,Earthworks Schedule,Structural Foundations,Schedule,Structural Foundations,"ASS_ID_TXT, ASS_LOC_TXT, ASS_TAG_1_TXT, PRJ_COMMENTS_TXT, PRJ_GRID_REF_TXT",None,Level: Ascending; Type Mark: Ascending,Level,None,"ASS_ID_TXT=Mark, ASS_LOC_TXT=Level, ASS_TAG_1_TXT=Type Mark, PRJ_COMMENTS_TXT=Comments, PRJ_GRID_REF_TXT=Grid Reference",#1A4B6E,#FFFFFF,#FFFFFF
SCHEDULE,ARCH_Comprehensive,Architecture,Environmental Schedule,Rooms,Schedule,Rooms,"ASS_ID_TXT, ASS_LOC_TXT, PRJ_COMMENTS_TXT",Level: (not equals) <None>,Level: Ascending; Number: Ascending,Level,None,"ASS_ID_TXT=Mark, ASS_LOC_TXT=Level, PRJ_COMMENTS_TXT=Comments",#1A4B6E,#FFFFFF,#FFFFFF
