# v3.0 | 20260306 | BIM Template pyrevit_scripts_manifest — Updated to reflect StingTools v1.0 C# consolidation
# Note: All pyRevit scripts have been replaced by StingTools IExternalCommand classes. This manifest maps legacy scripts to their C# equivalents.
Script_Name,Script_Path,Button_Name,Parameters_Read,Parameters_Written,Revit_Categories,Last_Validated_Date,pyRevit_Extension,StingTools_Replacement
Tag_All_Elements,BIM.extension/BIM.tab/Tag.panel/TagAll.pushbutton/script.py,Tag All,"ASS_ID_TXT,ASS_LOC_TXT,ASS_CAT_TXT",ASS_TAG_1_TXT,"Walls,Doors,Windows,Mechanical Equipment,Electrical Equipment,Plumbing Fixtures,Generic Models",20260306,BIM.extension,Tags.BatchTagCommand
Export_Parameters,BIM.extension/BIM.tab/Export.panel/ExportParams.pushbutton/script.py,Export Params,"ASS_ID_TXT,ASS_DESCRIPTION_TXT,ASS_FUNC_TXT",,All,20260306,BIM.extension,Temp.ExportCSVCommand
Cost_Schedule_Updater,BIM.extension/BIM.tab/Cost.panel/UpdateCosts.pushbutton/script.py,Update Costs,"ASS_CST_UNIT_PRICE_UGX_NR,ASS_CST_QUANTITY_NR","ASS_CST_TOTAL_UGX_NR,ASS_CST_INSTALL_UGX_NR,ASS_CST_LIFECYCLE_UGX_NR","Mechanical Equipment,Electrical Equipment,Plumbing Fixtures,Lighting Fixtures",20260306,BIM.extension,Temp.FormulaEvaluatorCommand
ISO19650_Code_Writer,BIM.extension/BIM.tab/ISO.panel/WriteISO.pushbutton/script.py,Write ISO Codes,"ASS_DISCIPLINE_COD_TXT,ASS_LVL_COD_TXT","ASS_EQUIPMENT_TAG_TXT,ASS_TAG_1_TXT","Walls,Floors,Doors,Windows,Mechanical Equipment,Electrical Equipment,Generic Models",20260306,BIM.extension,Tags.AutoTagCommand
Fire_Compartment_Tagger,BIM.extension/BIM.tab/Fire.panel/TagCompartments.pushbutton/script.py,Tag Fire Comps,"FLS_SFTY_COVERAGE_AREA_SQ_M,FLS_SFTY_MAX_TRAVEL_DIST_M",FLS_SFTY_MAX_TRAVEL_DIST_M,"Rooms,Floors,Walls",20260306,BIM.extension,Tags.FamilyStagePopulateCommand
MEP_Parameter_Sync,BIM.extension/BIM.tab/MEP.panel/SyncMEP.pushbutton/script.py,Sync MEP,"SYS_NAME_TXT,SYS_CLASSIFICATION_TXT,SYS_MEDIUM_TXT,SYS_PRESSURE_NR","HVC_PIPE_FLOWRATE_LPS,HVC_PIPE_PRESSURE_KPA,HVC_DUCT_AREA_SQ_M","Pipes,Ducts,Conduits,Mechanical Equipment,Air Terminals",20260306,BIM.extension,Tags.SystemParamPushCommand
QTO_Area_Calculator,BIM.extension/BIM.tab/QTO.panel/CalcAreas.pushbutton/script.py,Calc Areas,BLE_ELE_AREA_SQ_M,"BLE_FINISH_TILE_QUANTITY_NR,CST_S_CON_VOLUME_CU_M","Floors,Walls,Ceilings,Roofs",20260306,BIM.extension,Temp.FormulaEvaluatorCommand
Phase_Workset_Tagger,BIM.extension/BIM.tab/Manage.panel/PhaseWS.pushbutton/script.py,Phase / Workset,"PH_NAME_TXT,WS_NAME_TXT","PH_STATUS_TXT,PH_START_DATE_TXT,PH_END_DATE_TXT",All,20260306,BIM.extension,Tags.FamilyStagePopulateCommand
Material_Linker,BIM.extension/BIM.tab/Materials.panel/LinkMat.pushbutton/script.py,Link Materials,"MAT_TAG_1_TXT,MAT_TAG_2_TXT",MAT_ISO_19650_ID,"Walls,Floors,Ceilings,Roofs,Structural Framing,Structural Columns",20260306,BIM.extension,Tags.CombineParametersCommand
Regulatory_Checker,BIM.extension/BIM.tab/Reg.panel/CheckReg.pushbutton/script.py,Reg Check,"ASS_FUNC_TXT,ASS_ID_TXT",MA_TEMPLATE_COMPLIANCE_TXT,"Doors,Walls,Stairs,Ramps,Rooms",20260306,BIM.extension,Tags.ValidateTagsCommand
Structural_QTO,BIM.extension/BIM.tab/QTO.panel/StructQTO.pushbutton/script.py,Struct QTO,"CST_S_CON_VOLUME_CU_M,CST_CALC_PURLINS_M","CST_CALC_CONCRETE_M3,CST_CALC_STEEL_KG","Structural Framing,Structural Columns,Structural Foundations,Floors",20260306,BIM.extension,Temp.FormulaEvaluatorCommand
Sustainability_Metrics,BIM.extension/BIM.tab/Sust.panel/SustMetrics.pushbutton/script.py,Sust Metrics,"PER_THERM_CONDUCTIVITY_W_MK,PER_THERM_U_VALUE_W_M2K_NR","PER_THERM_U_VALUE_W_M2K_NR,PER_SUST_EMBODIED_CARBON_KG","Walls,Floors,Ceilings,Roofs,Windows,Doors",20260306,BIM.extension,Temp.FormulaEvaluatorCommand
BIM_Template_Validator,BIM.extension/BIM.tab/Validate.panel/ValidateBIM.pushbutton/script.py,Validate BIM,All data files,Validation report,All,20260306,BIM.extension,Temp.ValidateTemplateCommand
Sheet_Organizer,BIM.extension/BIM.tab/Docs.panel/SheetOrg.pushbutton/script.py,Sheet Org,,,"Sheets,Views",20260306,BIM.extension,Docs.SheetOrganizerCommand
View_Organizer,BIM.extension/BIM.tab/Docs.panel/ViewOrg.pushbutton/script.py,View Org,,,"Views",20260306,BIM.extension,Docs.ViewOrganizerCommand
Transmittal_Generator,BIM.extension/BIM.tab/Docs.panel/Transmittal.pushbutton/script.py,Transmittal,,,"Sheets",20260306,BIM.extension,Docs.TransmittalCommand
BOQ_Exporter,BIM.extension/BIM.tab/QTO.panel/BOQExport.pushbutton/script.py,BOQ Export,"ASS_CST_UNIT_PRICE_UGX_NR,ASS_CST_QUANTITY_NR,ASS_DESCRIPTION_TXT",BOQ Excel file,"All tagged categories",20260306,BIM.extension,Temp.BOQExportCommand
