# Parameter_Name,Categories(pipe)|<ALL>=universal
ACC_ISSUE_ID_TXT,<ALL>
ACC_SYNC_STATUS_TXT,<ALL>
ACO_RW_DB,Ceilings|Floors|Walls
AC_ELEMENT_ID_TXT,<ALL>
AC_HOTLINK_FILE_TXT,<ALL>
AC_HOTLINK_ID_TXT,<ALL>
AC_REVISION_TXT,<ALL>
ARCH_TAG_7_PARA_AREAS_TXT,Walls|Floors|Ceilings|Roofs|Doors|Windows|Columns|Stairs|Ramps|Casework|Furniture|Curtain Panels|Railings|Generic Models|Specialty Equipment
ARCH_TAG_7_PARA_ASSEMBLIES_TXT,Walls|Floors|Ceilings|Roofs|Doors|Windows|Columns|Stairs|Ramps|Casework|Furniture|Curtain Panels|Railings|Generic Models|Specialty Equipment
ARCH_TAG_7_PARA_CASEWORK_TXT,Casework
ARCH_TAG_7_PARA_CEIL_TXT,Ceilings
ARCH_TAG_7_PARA_COLUMNS_TXT,Walls|Floors|Ceilings|Roofs|Doors|Windows|Columns|Stairs|Ramps|Casework|Furniture|Curtain Panels|Railings|Generic Models|Specialty Equipment
ARCH_TAG_7_PARA_CURTAIN_TXT,Walls|Floors|Ceilings|Roofs|Doors|Windows|Columns|Stairs|Ramps|Casework|Furniture|Curtain Panels|Railings|Generic Models|Specialty Equipment
ARCH_TAG_7_PARA_DETAIL_ITEMS_TXT,Walls|Floors|Ceilings|Roofs|Doors|Windows|Columns|Stairs|Ramps|Casework|Furniture|Curtain Panels|Railings|Generic Models|Specialty Equipment
ARCH_TAG_7_PARA_DOOR_TXT,Doors
ARCH_TAG_7_PARA_ENTOURAGE_TXT,Walls|Floors|Ceilings|Roofs|Doors|Windows|Columns|Stairs|Ramps|Casework|Furniture|Curtain Panels|Railings|Generic Models|Specialty Equipment
ARCH_TAG_7_PARA_FACADE_TXT,Walls|Curtain Panels|Curtain Wall Mullions
ARCH_TAG_7_PARA_FLOOR_TXT,Floors
ARCH_TAG_7_PARA_FOOD_EQUIP_TXT,Walls|Floors|Ceilings|Roofs|Doors|Windows|Columns|Stairs|Ramps|Casework|Furniture|Curtain Panels|Railings|Generic Models|Specialty Equipment
ARCH_TAG_7_PARA_FURNITURE_TXT,Furniture|Furniture Systems
ARCH_TAG_7_PARA_FURN_SYS_TXT,Furniture|Furniture Systems
ARCH_TAG_7_PARA_HARDSCAPE_TXT,Walls|Floors|Ceilings|Roofs|Doors|Windows|Columns|Stairs|Ramps|Casework|Furniture|Curtain Panels|Railings|Generic Models|Specialty Equipment
ARCH_TAG_7_PARA_MASS_TXT,Walls|Floors|Ceilings|Roofs|Doors|Windows|Columns|Stairs|Ramps|Casework|Furniture|Curtain Panels|Railings|Generic Models|Specialty Equipment
ARCH_TAG_7_PARA_MODEL_GROUPS_TXT,Walls|Floors|Ceilings|Roofs|Doors|Windows|Columns|Stairs|Ramps|Casework|Furniture|Curtain Panels|Railings|Generic Models|Specialty Equipment
ARCH_TAG_7_PARA_MULLION_TXT,Walls|Curtain Panels|Curtain Wall Mullions
ARCH_TAG_7_PARA_PADS_TXT,Walls|Floors|Ceilings|Roofs|Doors|Windows|Columns|Stairs|Ramps|Casework|Furniture|Curtain Panels|Railings|Generic Models|Specialty Equipment
ARCH_TAG_7_PARA_PARKING_TXT,Parking
ARCH_TAG_7_PARA_PARTS_TXT,Walls|Floors|Ceilings|Roofs|Doors|Windows|Columns|Stairs|Ramps|Casework|Furniture|Curtain Panels|Railings|Generic Models|Specialty Equipment
ARCH_TAG_7_PARA_PLANTING_TXT,Walls|Floors|Ceilings|Roofs|Doors|Windows|Columns|Stairs|Ramps|Casework|Furniture|Curtain Panels|Railings|Generic Models|Specialty Equipment
ARCH_TAG_7_PARA_PROFILES_TXT,Walls|Floors|Ceilings|Roofs|Doors|Windows|Columns|Stairs|Ramps|Casework|Furniture|Curtain Panels|Railings|Generic Models|Specialty Equipment
ARCH_TAG_7_PARA_PROPERTY_LINES_TXT,Walls|Floors|Ceilings|Roofs|Doors|Windows|Columns|Stairs|Ramps|Casework|Furniture|Curtain Panels|Railings|Generic Models|Specialty Equipment
ARCH_TAG_7_PARA_PROPERTY_LINE_SEGMENTS_TXT,Walls|Floors|Ceilings|Roofs|Doors|Windows|Columns|Stairs|Ramps|Casework|Furniture|Curtain Panels|Railings|Generic Models|Specialty Equipment
ARCH_TAG_7_PARA_RAILING_TXT,Railings
ARCH_TAG_7_PARA_RAMP_TXT,Ramps
ARCH_TAG_7_PARA_ROADS_TXT,Walls|Floors|Ceilings|Roofs|Doors|Windows|Columns|Stairs|Ramps|Casework|Furniture|Curtain Panels|Railings|Generic Models|Specialty Equipment
ARCH_TAG_7_PARA_ROOF_TXT,Roofs
ARCH_TAG_7_PARA_ROOM_TXT,Rooms
ARCH_TAG_7_PARA_RVT_LINKS_TXT,Walls|Floors|Ceilings|Roofs|Doors|Windows|Columns|Stairs|Ramps|Casework|Furniture|Curtain Panels|Railings|Generic Models|Specialty Equipment
ARCH_TAG_7_PARA_SIGNAGE_TXT,Walls|Floors|Ceilings|Roofs|Doors|Windows|Columns|Stairs|Ramps|Casework|Furniture|Curtain Panels|Railings|Generic Models|Specialty Equipment
ARCH_TAG_7_PARA_SITE_TXT,Walls|Floors|Ceilings|Roofs|Doors|Windows|Columns|Stairs|Ramps|Casework|Furniture|Curtain Panels|Railings|Generic Models|Specialty Equipment
ARCH_TAG_7_PARA_SPACES_TXT,Walls|Floors|Ceilings|Roofs|Doors|Windows|Columns|Stairs|Ramps|Casework|Furniture|Curtain Panels|Railings|Generic Models|Specialty Equipment
ARCH_TAG_7_PARA_STAIR_TXT,Stairs|Railings
