SYS_CODE,SYS_DESCRIPTION,FUNC_CODE,FUNC_DESCRIPTION,DISCIPLINE,CIBSE_REF,ISO_19650_VALID
HVAC,Heating Ventilation & Air Conditioning,SUP,Supply / Delivery,M,CIBSE Guide B2,TRUE
HVAC,Heating Ventilation & Air Conditioning,RTN,Return,M,CIBSE Guide B2,TRUE
HVAC,Heating Ventilation & Air Conditioning,EXH,Exhaust / Extract,M,CIBSE Guide B2,TRUE
HVAC,Heating Ventilation & Air Conditioning,OA,Outdoor Air / Fresh Air Intake,M,CIBSE Guide B2,TRUE
HVAC,Heating Ventilation & Air Conditioning,GEN,General (mixed flow),M,CIBSE Guide B2,TRUE
HVAC,Heating Ventilation & Air Conditioning,TRF,Transfer Air,M,CIBSE Guide B2,TRUE
HVAC,Heating Ventilation & Air Conditioning,REL,Relief Air,M,CIBSE Guide B2,TRUE
HVAC,Heating Ventilation & Air Conditioning,GRP,Group / Combined,M,CIBSE Guide B2,TRUE
HWS,Hot Water Services,SUP,Supply,M,CIBSE Guide G,TRUE
HWS,Hot Water Services,RTN,Return / Circulation Return,M,CIBSE Guide G,TRUE
HWS,Hot Water Services,HTG,Heating,M,CIBSE Guide G,TRUE
HWS,Hot Water Services,CND,Condensate,M,CIBSE Guide B,TRUE
HWS,Hot Water Services,GEN,General,M,CIBSE Guide G,TRUE
DCW,Domestic Cold Water,SUP,Supply,P,CIBSE Guide G,TRUE
DCW,Domestic Cold Water,CLD,Cold Mains,P,CIBSE Guide G,TRUE
DCW,Domestic Cold Water,GEN,General,P,CIBSE Guide G,TRUE
DHW,Domestic Hot Water,SUP,Supply,P,CIBSE Guide G,TRUE
DHW,Domestic Hot Water,RTN,Return,P,CIBSE Guide G,TRUE
DHW,Domestic Hot Water,GEN,General,P,CIBSE Guide G,TRUE
SAN,Sanitation / Drainage,SAN,Sanitary / Foul Drainage,P,CIBSE Guide G,TRUE
SAN,Sanitation / Drainage,WAS,Waste,P,CIBSE Guide G,TRUE
SAN,Sanitation / Drainage,SOI,Soil,P,CIBSE Guide G,TRUE
SAN,Sanitation / Drainage,VNT,Ventilation Stack,P,CIBSE Guide G,TRUE
SAN,Sanitation / Drainage,GEN,General,P,CIBSE Guide G,TRUE
RWD,Rainwater / Storm Drainage,RWD,Rainwater Drainage,P,BS EN 12056-3,TRUE
RWD,Rainwater / Storm Drainage,SRF,Surface Water,P,BS EN 12056-3,TRUE
RWD,Rainwater / Storm Drainage,ATT,Attenuation,P,BS EN 12056-3,TRUE
RWD,Rainwater / Storm Drainage,GEN,General,P,BS EN 12056-3,TRUE
GAS,Gas,SUP,Supply,M,IGEM/UP/1,TRUE
