# TAG_CONFIG_v5_0_DISC_SYS_FUNC.csv
# ISO 19650 Discipline, System, and Function code mappings
# Version: 5.0 | Updated: 2026-03-13
# Used by: TagConfig.DiscMap, TagConfig.SysMap, TagConfig.FuncMap, TagConfig.ProdMap
# Changes from v4: Added system-aware DISC correction, smart FUNC detection,
#   expanded PROD codes (70+ family-aware), BIMManager integration parameters,
#   Procore Briefcase fields, Ideate Sticky parameters, 4D/5D scheduling tokens.
#
# SECTION 1: DISCIPLINE MAP (Category → DISC code)
# Format: DISC,CategoryName,DiscCode,Description
#
DISC,Mechanical Equipment,M,Mechanical discipline — HVAC equipment
DISC,Duct Systems,M,Ductwork systems
DISC,Ducts,M,Individual duct segments
DISC,Duct Fittings,M,Duct transitions and junctions
DISC,Duct Accessories,M,Dampers and duct accessories
DISC,Duct Insulations,M,Duct insulation
DISC,Flex Ducts,M,Flexible ductwork
DISC,Air Terminals,M,Supply/return/exhaust grilles and diffusers
DISC,Electrical Equipment,E,Electrical distribution equipment
DISC,Electrical Fixtures,E,Electrical outlets and switches
DISC,Lighting Fixtures,E,Luminaires and lighting
DISC,Lighting Devices,E,Lighting control devices
DISC,Cable Tray Fittings,E,Cable tray junctions
DISC,Cable Trays,E,Cable containment trays
DISC,Conduit Fittings,E,Conduit junctions
DISC,Conduits,E,Electrical conduits
DISC,Plumbing Fixtures,P,Sanitary ware and plumbing
DISC,Plumbing Equipment,P,Plumbing plant equipment
DISC,Pipe Systems,P,Piping systems (corrected by system detection)
DISC,Pipes,P,Individual pipe segments (corrected by system detection)
DISC,Pipe Fittings,P,Pipe junctions and transitions
DISC,Pipe Accessories,P,Valves and pipe accessories
DISC,Pipe Insulations,P,Pipe insulation
DISC,Flex Pipes,P,Flexible piping
DISC,Walls,A,Architectural walls
DISC,Floors,A,Floor slabs
DISC,Ceilings,A,Ceiling elements
DISC,Roofs,A,Roof elements
DISC,Doors,A,Door elements
DISC,Windows,A,Window elements
DISC,Stairs,A,Stair elements
DISC,Railings,A,Railing elements
DISC,Ramps,A,Ramp elements
DISC,Rooms,A,Room elements
DISC,Furniture,A,Furniture
DISC,Casework,A,Built-in casework
DISC,Generic Models,A,Generic model instances
DISC,Structural Columns,S,Structural columns
DISC,Structural Framing,S,Beams and structural framing
DISC,Structural Foundations,S,Foundation elements
DISC,Sprinklers,FP,Fire protection sprinklers
DISC,Fire Alarm Devices,FP,Fire alarm detectors and devices
DISC,Communication Devices,LV,Communications devices
DISC,Data Devices,LV,Data/ICT devices
DISC,Security Devices,LV,Security/CCTV devices
DISC,Nurse Call Devices,LV,Nurse call system devices
#
# SECTION 2: SYSTEM MAP (System code → Category groups)
# Format: SYS,SystemCode,CategoryList,Description
#
SYS,HVAC,"Mechanical Equipment,Ducts,Duct Fittings,Duct Accessories,Duct Insulations,Flex Ducts,Air Terminals",Heating ventilation and air conditioning
SYS,DCW,"Pipes,Pipe Fittings,Pipe Accessories,Pipe Insulations,Flex Pipes",Domestic cold water
