# TAG_PARAM_ALIGNMENT_AUDIT.csv — v1.0 | Generated 2026-06-08
# Cross-reference: all parameters in STING_TAG_CONFIG_v5_0_*.csv vs MR_PARAMETERS / PARAMETER_CATEGORIES / FAMILY_PARAMETER_BINDINGS / FORMULAS
# Status: OK = all checks pass | WARN = missing from FPB only | ERROR = critical mismatch
ParameterName,Group,DataType_TagCSV,Default_TagCSV,In_MR_PARAMETERS,MR_GUID,MR_DataType,MR_Group,In_PARAMETER_CATEGORIES,In_FAMILY_PARAMETER_BINDINGS,In_FORMULAS,In_Files,In_Catalog_Files,In_Data_Files,Status,Issues
ACC_ISSUE_ID_TXT,,,,Y,5753b5aa-000a-4000-8000-000000000002,TEXT,ACC_SYNC,N,N,N,ARCH|GEN|MEP|STR,,ARCH|GEN|MEP|STR,OK,
ACC_SYNC_STATUS_TXT,,,,Y,5753b5aa-000a-4000-8000-000000000003,TEXT,ACC_SYNC,N,N,N,ARCH|GEN|MEP|STR,,ARCH|GEN|MEP|STR,OK,
ARCH_TAG_7_PARA_CASEWORK_TXT,,,,Y,e55db34e-129d-5ea8-83be-e09e5e65604f,TEXT,BLE_ELES,Y,N,Y,ARCH|ARCH_DC,,ARCH|ARCH_DC,OK,
ARCH_TAG_7_PARA_CEIL_TXT,,,,Y,ec301803-ef10-50a5-8cd0-12c129155328,TEXT,BLE_ELES,Y,N,Y,ARCH|ARCH_DC,,ARCH|ARCH_DC,OK,
ARCH_TAG_7_PARA_COLUMNS_TXT,,,,Y,1c36baa6-8984-5d7a-9c1f-38499f5245f9,TEXT,BLE_ELES,N,N,N,ARCH|ARCH_DC,,ARCH|ARCH_DC,OK,
ARCH_TAG_7_PARA_CURTAIN_TXT,,,,Y,c15b96fe-3e6b-53b2-b7fc-35f4add8827a,TEXT,STINGTags_ISO19650,N,N,N,ARCH|ARCH_DC,,ARCH|ARCH_DC,OK,
ARCH_TAG_7_PARA_DOOR_TXT,,,,Y,86482d6d-49dc-5efc-adc3-16fdfd742ea3,TEXT,BLE_ELES,Y,N,Y,ARCH|ARCH_DC,,ARCH|ARCH_DC,OK,
ARCH_TAG_7_PARA_FLOOR_TXT,,,,Y,79f63378-cf89-53ed-8d08-b7ef224664bc,TEXT,BLE_ELES,Y,N,Y,ARCH|ARCH_DC,,ARCH|ARCH_DC,OK,
ARCH_TAG_7_PARA_FURNITURE_TXT,,,,Y,b1d47bbb-397e-520b-9610-b471226f9441,TEXT,BLE_ELES,Y,N,Y,ARCH|ARCH_DC,,ARCH|ARCH_DC,OK,
ARCH_TAG_7_PARA_MULLION_TXT,,,,Y,cb0f6308-f648-5977-b5db-fd1b73368e58,TEXT,STINGTags_ISO19650,N,N,N,ARCH|ARCH_DC,,ARCH|ARCH_DC,OK,
ARCH_TAG_7_PARA_PARKING_TXT,,,,Y,a747267b-fc4f-52a7-8a2b-2edf79466ced,TEXT,BLE_ELES,N,N,N,ARCH|ARCH_DC,,ARCH|ARCH_DC,OK,
