param,group,source,categories,desc
ACC_ISSUE_ID_TXT,21,interop-universal,<ALL>,Autodesk Construction Cloud Issue GUID for bidirectional sync
ACC_SYNC_STATUS_TXT,21,interop-universal,<ALL>,ACC sync status (SYNCED / PENDING / ERROR)
ACO_RW_DB,9,curated-fallback,Ceilings|Floors|Walls,Weighted sound reduction index Rw (dB) of partition per BS EN ISO 717-1 — AcousticAnalysisEngine [Phase 187]
AC_ELEMENT_ID_TXT,26,interop-universal,<ALL>,ArchiCAD IFC: ArchiCAD internal element GUID (AC_Pset_ElementID.ID) - distinct from IFC GlobalId
AC_HOTLINK_FILE_TXT,26,interop-universal,<ALL>,ArchiCAD IFC: relative path of the source hotlink .mod file
AC_HOTLINK_ID_TXT,26,interop-universal,<ALL>,ArchiCAD IFC: GUID of the originating hotlink module (AC_Pset_ElementID.Hotlink_ID)
AC_REVISION_TXT,26,interop-universal,<ALL>,ArchiCAD IFC: element-level revision mark (AC_Pset_ElementID.Revision)
ARCH_TAG_7_PARA_AREAS_TXT,10,tag-container,<ALL>,Areas paragraph [ISO 19650-3:2020]
ARCH_TAG_7_PARA_ASSEMBLIES_TXT,10,tag-container,<ALL>,Assemblies paragraph [ISO 19650-3:2020]
ARCH_TAG_7_PARA_CASEWORK_TXT,10,tag-container,<ALL>,Casework paragraph [ISO 19650-3:2020]
ARCH_TAG_7_PARA_CEIL_TXT,10,tag-container,<ALL>,Ceiling paragraph container - NEW v4.3 [ISO 19650-3:2020]
ARCH_TAG_7_PARA_COLUMNS_TXT,10,tag-container,<ALL>,Columns paragraph [ISO 19650-3:2020]
ARCH_TAG_7_PARA_CURTAIN_TXT,17,tag-container,<ALL>,Architectural TAG7 paragraph container for curtain
ARCH_TAG_7_PARA_DETAIL_ITEMS_TXT,10,tag-container,<ALL>,Detail Items paragraph [ISO 19650-3:2020]
ARCH_TAG_7_PARA_DOOR_TXT,10,tag-container,<ALL>,Door paragraph container [ISO 19650-3:2020]
ARCH_TAG_7_PARA_ENTOURAGE_TXT,10,tag-container,<ALL>,Entourage paragraph [ISO 19650-3:2020]
ARCH_TAG_7_PARA_FACADE_TXT,10,tag-container,<ALL>,Facade/curtain wall paragraph [ISO 19650-3:2020]
ARCH_TAG_7_PARA_FLOOR_TXT,10,tag-container,<ALL>,Floor paragraph container [ISO 19650-3:2020]
ARCH_TAG_7_PARA_FOOD_EQUIP_TXT,10,tag-container,<ALL>,Food Equip paragraph [ISO 19650-3:2020]
ARCH_TAG_7_PARA_FURNITURE_TXT,10,tag-container,<ALL>,Furniture paragraph [ISO 19650-3:2020]
ARCH_TAG_7_PARA_FURN_SYS_TXT,10,tag-container,<ALL>,Furniture system paragraph [ISO 19650-3:2020]
ARCH_TAG_7_PARA_HARDSCAPE_TXT,10,tag-container,<ALL>,Hardscape paragraph [ISO 19650-3:2020]
ARCH_TAG_7_PARA_MASS_TXT,10,tag-container,<ALL>,Mass paragraph [ISO 19650-3:2020]
ARCH_TAG_7_PARA_MODEL_GROUPS_TXT,10,tag-container,<ALL>,Model Groups paragraph [ISO 19650-3:2020]
ARCH_TAG_7_PARA_MULLION_TXT,17,tag-container,<ALL>,Architectural TAG7 paragraph container for mullion
ARCH_TAG_7_PARA_PADS_TXT,10,tag-container,<ALL>,Pads paragraph [ISO 19650-3:2020]
ARCH_TAG_7_PARA_PARKING_TXT,10,tag-container,<ALL>,Parking paragraph [ISO 19650-3:2020]
ARCH_TAG_7_PARA_PARTS_TXT,10,tag-container,<ALL>,Parts paragraph [ISO 19650-3:2020]
ARCH_TAG_7_PARA_PLANTING_TXT,10,tag-container,<ALL>,Planting paragraph [ISO 19650-3:2020]
ARCH_TAG_7_PARA_PROFILES_TXT,10,tag-container,<ALL>,Profiles paragraph [ISO 19650-3:2020]
ARCH_TAG_7_PARA_PROPERTY_LINES_TXT,10,tag-container,<ALL>,Property Lines paragraph [ISO 19650-3:2020]
ARCH_TAG_7_PARA_PROPERTY_LINE_SEGMENTS_TXT,10,tag-container,<ALL>,Property Line Segments paragraph [ISO 19650-3:2020]
ARCH_TAG_7_PARA_RAILING_TXT,17,tag-container,<ALL>,Architectural TAG7 paragraph container for railing
ARCH_TAG_7_PARA_RAMP_TXT,10,tag-container,<ALL>,Ramp paragraph [ISO 19650-3:2020]
ARCH_TAG_7_PARA_ROADS_TXT,10,tag-container,<ALL>,Roads paragraph [ISO 19650-3:2020]
ARCH_TAG_7_PARA_ROOF_TXT,10,tag-container,<ALL>,Roof paragraph container - NEW v4.3 [ISO 19650-3:2020]
ARCH_TAG_7_PARA_ROOM_TXT,10,tag-container,<ALL>,Room/space paragraph container [ISO 19650-3:2020]
ARCH_TAG_7_PARA_RVT_LINKS_TXT,10,tag-container,<ALL>,Rvt Links paragraph [ISO 19650-3:2020]
ARCH_TAG_7_PARA_SIGNAGE_TXT,10,tag-container,<ALL>,Signage paragraph [ISO 19650-3:2020]
ARCH_TAG_7_PARA_SITE_TXT,10,tag-container,<ALL>,Site paragraph [ISO 19650-3:2020]
ARCH_TAG_7_PARA_SPACES_TXT,10,tag-container,<ALL>,Spaces paragraph [ISO 19650-3:2020]
ARCH_TAG_7_PARA_STAIR_TXT,10,tag-container,<ALL>,Stair paragraph [ISO 19650-3:2020]
ARCH_TAG_7_PARA_TEMP_STRUCT_TXT,10,tag-container,<ALL>,Temp Struct paragraph [ISO 19650-3:2020]
ARCH_TAG_7_PARA_TOPOSOLID_LINKS_TXT,10,tag-container,<ALL>,Toposolid Links paragraph [ISO 19650-3:2020]
ARCH_TAG_7_PARA_TOPOSOLID_TXT,10,tag-container,<ALL>,Toposolid paragraph [ISO 19650-3:2020]
ARCH_TAG_7_PARA_VERT_CIRC_TXT,10,tag-container,<ALL>,Vert Circ paragraph [ISO 19650-3:2020]
ARCH_TAG_7_PARA_WALL_TXT,10,tag-container,<ALL>,Wall paragraph container [ISO 19650-3:2020]
ARCH_TAG_7_PARA_WASH_TXT,10,tag-container,<ALL>,Wash paragraph [ISO 19650-3:2020]
ARCH_TAG_7_PARA_WIN_TXT,10,tag-container,<ALL>,Window paragraph container [ISO 19650-3:2020]
ARCH_TAG_7_PARA_ZONES_TXT,10,tag-container,<ALL>,Zones paragraph [ISO 19650-3:2020]
ARC_FACTORY_ORDER_REF_TXT,10,meta-universal,<ALL>,Joinery factory order reference [BS 8000-5:1990]
ARC_GLAZING_SPEC_TXT,10,meta-universal,<ALL>,Glazing specification reference [BS 6262-1:2022]
AREA_SQ_M,1,generic-geom,<ALL>,Area [ISO 19650-1:2018]
ASBUILT_CAPTURE_DATE_TXT,24,meta-universal,<ALL>,ISO 8601 date when as-built data captured from Planscape mobile
ASBUILT_COVER_DEVIATION_MM,24,meta-universal,<ALL>,As-built concrete cover deviation from design in mm [BS EN 13670:2009]
ASBUILT_COVER_DEVIATION_MM_DISP_TXT,24,meta-universal,<ALL>,As-built concrete cover deviation from design in mm — TEXT display mirror for tag labels
ASBUILT_DEVIATION_MM,24,meta-universal,<ALL>,As-built vs as-designed deviation in millimetres
ASBUILT_DEVIATION_MM_DISP_TXT,24,meta-universal,<ALL>,As-built vs as-designed deviation in millimetres — TEXT display mirror for tag labels
ASS_ACCESS_PERF_TXT,1,asset-universal,<ALL>,Accessibility performance rating [COBie V2.4]
ASS_AREA_M2_TXT,1,asset-universal,<ALL>,Element area in square metres
ASS_ASSEMBLY_CODE_TXT,1,asset-universal,<ALL>,Assembly code from Revit type [ISO 19650-2:2018]
ASS_ASSEMBLY_DESC_TXT,1,asset-universal,<ALL>,Assembly description from Revit type [ISO 19650-2:2018]
ASS_ASSET_ID_TXT,1,asset-universal,<ALL>,Unique asset identifier [COBie V2.4]
ASS_BARCODE_TXT,1,asset-universal,<ALL>,Asset barcode identifier [COBie V2.4]
ASS_BMS_ADDRESS_TXT,1,asset-universal,<ALL>,BMS/IoT device address
ASS_BOLT_COUNT_NR,1,asset-universal,<ALL>,Total number of bolted connections in the assembly
ASS_BOM_REV_TXT,1,asset-universal,<ALL>,"Bill of materials revision code (e.g. P01, C01)"
ASS_BOQ_LINE_REF,1,asset-universal,<ALL>,BOQ line reference e.g. 14.3.2 -- Excel roundtrip join key [ISO 19650-3:2020]
ASS_BOQ_SECTION_NAME,1,asset-universal,<ALL>,BOQ section name this element belongs to [ISO 19650-3:2020]
ASS_BOUNDING_VOL_CU_M,1,asset-universal,<ALL>,Element bounding volume in cubic metres
ASS_CAPACITY_TXT,4,asset-universal,<ALL>,Asset capacity specification [ISO 19650-2:2018]
ASS_CAT_TXT,1,universal,<ALL>,Ass Cat Txt [ISO 19650-3:2020]
ASS_CDE_STATUS_TXT,17,asset-universal,<ALL>,CDE container status code (WIP/SHARED/PUBLISHED/ARCHIVE) [ISO 19650-1:2018 Sec.12]
ASS_CDE_SUITABILITY_TXT,17,asset-universal,<ALL>,CDE suitability code for information exchange [ISO 19650-2:2018 Sec.5.6]
ASS_CLASS_COD_TXT,1,asset-universal,<ALL>,Classification code (Uniclass/NRM)
ASS_CLASS_DESC_TXT,1,asset-universal,<ALL>,Classification description
ASS_CODE_PERF_TXT,1,asset-universal,<ALL>,Code compliance performance [COBie V2.4]
ASS_COLOR_TXT,1,asset-universal,<ALL>,Asset color description [COBie V2.4]
ASS_CONDITION_DATE_TXT,1,asset-universal,<ALL>,Condition assessment date
ASS_CONDITION_TXT,1,asset-universal,<ALL>,Asset condition assessment [COBie V2.4]
ASS_CONNECTED_ELEMENTS_TXT,1,asset-universal,<ALL>,Connected element tags (pipe/duct connections)
ASS_CONSTITUENTS_TXT,1,asset-universal,<ALL>,Material constituents [COBie V2.4]
ASS_CRITICALITY_RATING_NR,1,asset-universal,<ALL>,Ass Criticality Rating Nr [ISO 19650-3:2020]
ASS_CST_ANNUAL_MAINTENANCE_UGX_NR,1,asset-universal,<ALL>,Ass Cst Annual Maintenance Ugx Nr [ISO 19650-3:2020]
ASS_CST_AS_OF_DT,2,asset-universal,<ALL>,Pricing reference date for inflation indexing [Phase 184]
ASS_CST_CURRENCY_TXT,2,asset-universal,<ALL>,ISO 4217 currency code (GBP / UGX / USD / EUR) of ASS_CST_UNIT_RATE_NR [Phase 184]
ASS_CST_FX_DATE_DT,2,asset-universal,<ALL>,ISO 8601 date the FX rate was fixed (yyyy-MM-dd) [Phase 184]
ASS_CST_FX_TO_BASE_NR,2,asset-universal,<ALL>,FX rate to project base currency at write time [Phase 184]
ASS_CST_FX_TO_BASE_NR_DISP_TXT,2,asset-universal,<ALL>,FX rate to project base currency at write time — TEXT display mirror for tag labels
ASS_CST_INSTALL_UGX_NR,1,asset-universal,<ALL>,Ass Cst Install Ugx Nr [ISO 19650-3:2020]
ASS_CST_LIFECYCLE_UGX_NR,1,asset-universal,<ALL>,Ass Cst Lifecycle Ugx Nr [ISO 19650-3:2020]
ASS_CST_QUANTITY_NR,1,asset-universal,<ALL>,Ass Cst Quantity Nr [ISO 19650-3:2020]
ASS_CST_STALE_BOOL,2,asset-universal,<ALL>,Set when geometry/material/type change invalidates the last-costed line [Phase 184]
ASS_CST_STALE_REASON_TXT,2,asset-universal,<ALL>,Reason cost was flagged stale (Geometry / Material / Type / Rate) [Phase 184]
ASS_CST_TOTAL_UGX_NR,1,asset-universal,<ALL>,Ass Cst Total Ugx Nr [ISO 19650-3:2020]
ASS_CST_UNIT_PRICE_UGX_NR,1,asset-universal,<ALL>,Ass Cst Unit Price Ugx Nr [ISO 19650-3:2020]
