# Parameter->Category binding accuracy audit — generated by gen_audit.py (not verified in Revit)
# BindingBefore = pre-fix runtime binding (group override or ALL element categories)
# BindingAfter  = post-fix runtime binding (universal->ALL; else per-param CATEGORY_BINDINGS.csv; else group override; else GAP=ALL)
Parameter,Prefix,Group,BindingBefore,BindingAfter,OnDuctsBefore,OnDuctsAfter,Flag
BLE_CBL_TRAY_DEPTH_MM,BLE,BLE_ELES,Walls|Floors|Ceilings|Roofs|Doors|Windows|Columns|Structural Columns|Structural Framing|Structural Foundations|Stairs|Railings|Ramps|Curtain Panels|Curtain Wall Mullions|Casework|Furniture|Furniture Systems|Generic Models|Specialty Equipment,Cable Trays,N,N,CHANGED
BLE_CBL_TRAY_DEPTH_MM_DISP_TXT,BLE,BLE_ELES,Walls|Floors|Ceilings|Roofs|Doors|Windows|Columns|Structural Columns|Structural Framing|Structural Foundations|Stairs|Railings|Ramps|Curtain Panels|Curtain Wall Mullions|Casework|Furniture|Furniture Systems|Generic Models|Specialty Equipment,Cable Trays,N,N,CHANGED
BLE_CBL_TRAY_WIDTH_MM,BLE,BLE_ELES,Walls|Floors|Ceilings|Roofs|Doors|Windows|Columns|Structural Columns|Structural Framing|Structural Foundations|Stairs|Railings|Ramps|Curtain Panels|Curtain Wall Mullions|Casework|Furniture|Furniture Systems|Generic Models|Specialty Equipment,Cable Trays,N,N,CHANGED
BLE_CBL_TRAY_WIDTH_MM_DISP_TXT,BLE,BLE_ELES,Walls|Floors|Ceilings|Roofs|Doors|Windows|Columns|Structural Columns|Structural Framing|Structural Foundations|Stairs|Railings|Ramps|Curtain Panels|Curtain Wall Mullions|Casework|Furniture|Furniture Systems|Generic Models|Specialty Equipment,Cable Trays,N,N,CHANGED
BLE_CEILING_AREA_SQ_M,BLE,BLE_ELES,Walls|Floors|Ceilings|Roofs|Doors|Windows|Columns|Structural Columns|Structural Framing|Structural Foundations|Stairs|Railings|Ramps|Curtain Panels|Curtain Wall Mullions|Casework|Furniture|Furniture Systems|Generic Models|Specialty Equipment,Generic Models,N,N,CHANGED
BLE_CEILING_FIN_TILE_QTY_NR,BLE,BLE_ELES,Walls|Floors|Ceilings|Roofs|Doors|Windows|Columns|Structural Columns|Structural Framing|Structural Foundations|Stairs|Railings|Ramps|Curtain Panels|Curtain Wall Mullions|Casework|Furniture|Furniture Systems|Generic Models|Specialty Equipment,Generic Models,N,N,CHANGED
BLE_DOOR_AREA_SQ_M,BLE,BLE_ELES,Walls|Floors|Ceilings|Roofs|Doors|Windows|Columns|Structural Columns|Structural Framing|Structural Foundations|Stairs|Railings|Ramps|Curtain Panels|Curtain Wall Mullions|Casework|Furniture|Furniture Systems|Generic Models|Specialty Equipment,Generic Models,N,N,CHANGED
BLE_FLR_AREA_SQ_M,BLE,BLE_ELES,Walls|Floors|Ceilings|Roofs|Doors|Windows|Columns|Structural Columns|Structural Framing|Structural Foundations|Stairs|Railings|Ramps|Curtain Panels|Curtain Wall Mullions|Casework|Furniture|Furniture Systems|Generic Models|Specialty Equipment,Generic Models,N,N,CHANGED
BLE_FLR_TILE_QTY_NR,BLE,BLE_ELES,Walls|Floors|Ceilings|Roofs|Doors|Windows|Columns|Structural Columns|Structural Framing|Structural Foundations|Stairs|Railings|Ramps|Curtain Panels|Curtain Wall Mullions|Casework|Furniture|Furniture Systems|Generic Models|Specialty Equipment,Generic Models,N,N,CHANGED
BLE_RAMP_HEIGHT_MM,BLE,BLE_ELES,Walls|Floors|Ceilings|Roofs|Doors|Windows|Columns|Structural Columns|Structural Framing|Structural Foundations|Stairs|Railings|Ramps|Curtain Panels|Curtain Wall Mullions|Casework|Furniture|Furniture Systems|Generic Models|Specialty Equipment,Generic Models,N,N,CHANGED
BLE_RAMP_LENGTH_MM,BLE,BLE_ELES,Walls|Floors|Ceilings|Roofs|Doors|Windows|Columns|Structural Columns|Structural Framing|Structural Foundations|Stairs|Railings|Ramps|Curtain Panels|Curtain Wall Mullions|Casework|Furniture|Furniture Systems|Generic Models|Specialty Equipment,Generic Models,N,N,CHANGED
BLE_STAIR_BALUSTRADE_TYPE_TXT,BLE,BLE_STRUCTURE,Walls|Floors|Ceilings|Roofs|Doors|Windows|Columns|Structural Columns|Structural Framing|Structural Foundations|Stairs|Railings|Ramps|Curtain Panels|Curtain Wall Mullions|Casework|Furniture|Furniture Systems|Generic Models|Specialty Equipment,Air Terminals|Ducts|Generic Models|Mechanical Equipment|Duct Fittings|Duct Accessories|Flex Ducts,N,Y,CHANGED
BLE_STAIR_HANDRAIL_MAT_TXT,BLE,BLE_STRUCTURE,Walls|Floors|Ceilings|Roofs|Doors|Windows|Columns|Structural Columns|Structural Framing|Structural Foundations|Stairs|Railings|Ramps|Curtain Panels|Curtain Wall Mullions|Casework|Furniture|Furniture Systems|Generic Models|Specialty Equipment,Air Terminals|Ducts|Generic Models|Mechanical Equipment|Duct Fittings|Duct Accessories|Flex Ducts,N,Y,CHANGED
BLE_STAIR_MAT_TXT,BLE,BLE_STRUCTURE,Walls|Floors|Ceilings|Roofs|Doors|Windows|Columns|Structural Columns|Structural Framing|Structural Foundations|Stairs|Railings|Ramps|Curtain Panels|Curtain Wall Mullions|Casework|Furniture|Furniture Systems|Generic Models|Specialty Equipment,Air Terminals|Ducts|Generic Models|Mechanical Equipment|Duct Fittings|Duct Accessories|Flex Ducts,N,Y,CHANGED
BLE_STAIR_NOSING_TYPE_TXT,BLE,BLE_STRUCTURE,Walls|Floors|Ceilings|Roofs|Doors|Windows|Columns|Structural Columns|Structural Framing|Structural Foundations|Stairs|Railings|Ramps|Curtain Panels|Curtain Wall Mullions|Casework|Furniture|Furniture Systems|Generic Models|Specialty Equipment,Air Terminals|Ducts|Generic Models|Mechanical Equipment|Duct Fittings|Duct Accessories|Flex Ducts,N,Y,CHANGED
BLE_STAIR_PITCH_LINE_MM,BLE,BLE_ELES,Walls|Floors|Ceilings|Roofs|Doors|Windows|Columns|Structural Columns|Structural Framing|Structural Foundations|Stairs|Railings|Ramps|Curtain Panels|Curtain Wall Mullions|Casework|Furniture|Furniture Systems|Generic Models|Specialty Equipment,Generic Models,N,N,CHANGED
BLE_STAIR_RISE_GOING_RATIO_NR,BLE,BLE_ELES,Walls|Floors|Ceilings|Roofs|Doors|Windows|Columns|Structural Columns|Structural Framing|Structural Foundations|Stairs|Railings|Ramps|Curtain Panels|Curtain Wall Mullions|Casework|Furniture|Furniture Systems|Generic Models|Specialty Equipment,Generic Models,N,N,CHANGED
