# This is a Revit shared parameter file.
# Generated by tools/converters/sting_to_revit_params.py
# Do not edit manually — re-run the converter when the Pset XML changes.
*META	VERSION	MINVERSION
META	2	1
*GROUP	ID	NAME
GROUP	200	Pset_StingSpatialCodes
GROUP	201	Pset_StingTags
*PARAM	GUID	NAME	DATATYPE	DATACATEGORY	GROUP	VISIBLE	DESCRIPTION	USERMODIFIABLE
PARAM	f4ef6e51-42bd-5a4e-99ef-b361dfabad26	LocationCode	TEXT		200	1	Short building code (e.g. BLD1, MAIN, NORTH). Attached to IfcBuilding (and optionally IfcSite). Tag token LOC must equal this LocationCode on the IfcBuilding the element is contained in.	1
PARAM	43ded365-15ec-5096-b1d5-e048047109ec	LevelCode	TEXT		200	1	Short level / storey code (e.g. GF, L02, B1, RF). Attached to IfcBuildingStorey. Tag token LVL must equal this LevelCode on the IfcBuildingStorey containing the element via IfcRelContainedInSpatialStructure.	1
PARAM	8951f3d1-0435-5e68-8bf3-09b2524cb4eb	ZoneCode	TEXT		200	1	Short zone code (e.g. Z01, WARD-A, OR-SUITE). Attached to IfcZone. Tag token ZONE must equal this ZoneCode on an IfcZone the element is grouped into via IfcRelAssignsToGroup.	1
PARAM	c307d602-303e-5607-9e63-e205a90ac8d9	ZoneCategory	TEXT		200	1	Semantic category of the zone (Fire / Smoke / Acoustic / HVAC / Clinical / Pressure / Security / Radiation / MRI / Building). Disambiguates zones when an element belongs to multiple — e.g. one IfcZone for fire compartmentation + one for acoustic isolation.	1
PARAM	0f2d4401-1f33-5960-8fd6-e3b240358e42	SortOrder	INTEGER		200	1	Integer ordering hint used by browser / schedule sort. Smaller = appears first. Two storeys at the same elevation can use SortOrder to disambiguate (e.g. mezzanine above GF gets SortOrder above GF + below L01).	1
PARAM	11f5a116-618e-5695-b1d5-f75b1a5b0bf4	HumanName	TEXT		200	1	Human-readable name of the spatial container, e.g. "Main Hospital Building" / "Second Floor — Surgical Suite" / "Acute Ward A". Distinct from the IfcBuilding.Name attribute (which may be the official building number) and from LocationCode (the short tag code). Used in schedules, mobile UI, and printed sheets.	1
PARAM	1575bb44-3c9c-5b68-8926-d0291283dc4a	Discipline	TEXT		201	1	Discipline code — first segment of the 8-segment tag. Required from Stage 2 onward. References StingDisciplineCodes.	1
PARAM	4eebbfa9-df47-5712-836a-da974c3495dd	Location	TEXT		201	1	Location / building code — second segment. References StingLocationCodes via the project's overlay, and must equal the LocationCode of the element's containing IfcBuilding (cross-entity rule LOC_MATCHES_BUILDING). Required from Stage 2.	1
PARAM	9c44b6c1-f1f3-5c22-b014-d02a04a9bc41	Zone	TEXT		201	1	Zone code — third segment. References StingZoneCodes. Must equal a ZoneCode on at least one IfcZone the element is assigned to via IfcRelAssignsToGroup (cross-entity rule ZONE_MATCHES_ASSIGNEDZONE). Required from Stage 3.	1
PARAM	9e453896-d7a7-591c-b3fb-328c79051b9d	Level	TEXT		201	1	Level / storey code — fourth segment. References StingLevelCodes and must equal the LevelCode of the element's containing IfcBuildingStorey (cross-entity rule LVL_MATCHES_STOREY). Required from Stage 2.	1
PARAM	b13b72b0-3bd5-5810-b7d5-0880ef7e04ce	System	TEXT		201	1	System-type code — fifth segment. References StingSystemCodes. Required from Stage 3 for MEP / FLS / structural elements; optional for architectural (default ARC). Must align with the IfcSystem the element belongs to when one exists.	1
PARAM	e58120c4-7b98-56cd-b439-fd593dca12d9	Function	TEXT		201	1	Function code — sixth segment. References StingFunctionCodes. Narrows the role of the element within its System (e.g. HVAC SUP vs RET vs EXH). Required from Stage 4 for MEP; optional otherwise.	1
PARAM	e5bf6cdc-3d0e-5c64-858b-fd1d32ccc5ff	Product	TEXT		201	1	Product code — seventh segment. References StingProductCodes. Names the kind of element (AHU, FCU, DB, basin). Required from Stage 4 for tagged elements; optional for elements whose category is unambiguous via IFC class alone.	1
PARAM	259ed361-5cf3-5c8d-8bf6-77c6a370eab8	Sequence	TEXT		201	1	Sequence number — eighth segment. Zero-padded 4-digit integer in canonical form (e.g. "0042"). Assigned by STING's TokenAutoPopulator + SEQ-counter sidecar; unique within (Discipline, System, Level) tuple. Required from Stage 3.	1
PARAM	4b242e3d-2203-5370-9446-4621064392db	FullTag	TEXT		201	1	Computed dash-separated rendering of the 8 segments — e.g. "M-BLD1-Z01-L02-HVAC-SUP-AHU-0042". DERIVED, not authoritative — host plugins compute on read from the 8 source segments; storing this property is a convenience for legacy consumers but is not required (when present, STING validators verify it matches the computed form).	1
PARAM	a7932415-515f-52de-8407-4deb9fb33360	PreviousTag	TEXT		201	1	The element's previous FullTag value before the most recent retag. Audit history; populated by the auto-tagger when overwriting. Cleared on element creation.	1
PARAM	1cd2c084-6589-5029-ab96-0fb24f1d98b4	ModifiedAt	TEXT		201	1	ISO 8601 UTC timestamp of the last tag-segment modification. Used for stale-detection and synchronisation between host plugins and Planscape Server.	1
PARAM	e9a59e79-ecb0-5d2e-ac89-587342415d33	TokenLock	TEXT		201	1	Comma-separated list of segment names locked against auto-population. Values: DISC, LOC, ZONE, LVL, SYS, FUNC, PROD, SEQ. Empty = no segments locked = auto-populator may overwrite all. Locked segments are preserved by every STING tag-write path.	1
